,name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,ttm
21,		GoodwillAndOtherIntangibleAssets,"173,300,000","172,200,000","173,800,000","183,900,000","175,900,000","179,000,000","261,700,000","359,600,000","835,700,000","1,102,200,000","414,227,151.338","297,759,255.904","253,027,321.903","187,449,467.108","161,429,718.876",
22,			Goodwill,"172,700,000","171,100,000","172,700,000","181,900,000","172,600,000","174,200,000","207,800,000","294,100,000","706,100,000","898,900,000","355,729,813.4",,"230,196,926.501","187,449,467.108","161,429,718.876",
23,			OtherIntangibleAssets,"600,000","1,100,000","1,100,000","2,000,000","3,300,000","4,800,000","53,900,000","65,500,000","129,600,000","203,300,000","58,497,337.937",,"22,830,395.402",,,
24,		NonCurrentDeferredAssets,"8,900,000","6,800,000",0,"1,800,000","1,800,000","2,300,000","10,900,000","4,100,000","12,100,000","12,300,000","4,643,725.867","552,204.937",0,0,0,
25,			NonCurrentDeferredTaxesAssets,"16,300,000","30,500,000","26,900,000","21,200,000","12,200,000","13,100,000","12,600,000","16,200,000","29,100,000","10,300,000","5,358,145.231","1,604,845.598","2,724,733.12","3,472,987.872","3,068,273.092",
26,		OtherNonCurrentAssets,"4,100,000","6,400,000","7,000,000","1,600,000","1,000,000","2,800,000","4,200,000","5,300,000","6,300,000",,"-17,009.985",0,"616,650.127","2,223,447.262","80,321.285",
27,TotalLiabilitiesNetMinorityInterest,"736,300,000","821,600,000","763,400,000","842,500,000","1,030,700,000","1,070,100,000","1,257,800,000","1,160,300,000","1,661,100,000","1,527,900,000","416,608,549.218","468,079,966.177","438,725,054.351","352,627,710.401","79,710,843.373",
28,	CurrentLiabilities,"178,900,000","722,300,000","158,300,000","177,800,000","313,100,000","319,300,000","445,300,000","475,900,000","692,800,000","466,500,000","164,503,563.592","165,903,070.777","145,529,429.986","97,850,055.127","57,654,618.474",
29,		PensionandOtherPostRetirementBenefitPlansCurrent,,,,"24,900,000","24,700,000","35,000,000","52,100,000","40,300,000","39,000,000",,,,,,,
30,		CurrentDebtAndCapitalLeaseObligation,"19,000,000","560,400,000","4,700,000","7,200,000","131,100,000","95,000,000","64,200,000","150,900,000","329,500,000","108,400,000","1,871,098.335","45,004,702.37","31,363,112.276",,,
31,			CurrentDebt,"8,800,000","547,400,000","4,700,000","7,200,000","131,100,000","95,000,000","59,900,000","148,000,000","327,400,000","108,400,000","1,871,098.335","45,004,702.37","31,363,112.276",,,
32,			CurrentCapitalLeaseObligation,"10,200,000","13,000,000",,,,,"4,300,000","2,900,000","2,100,000",,,,,,,
33,		OtherCurrentLiabilities,,"1,800,000",,,"182,000,000","2,100,000","9,100,000","11,700,000","160,200,000","358,100,000","162,632,465.257","87,921,379.822","114,166,317.71","97,850,055.127","57,654,618.474",
34,	TotalNonCurrentLiabilitiesNetMinorityInterest,"557,400,000","99,300,000","605,100,000","664,700,000","717,600,000","750,800,000","812,500,000","684,400,000","968,300,000","1,061,400,000","252,104,985.627","302,176,895.4","293,195,624.365","254,777,655.274","22,056,224.9",
35,		LongTermDebtAndCapitalLeaseObligation,"556,400,000","96,600,000","601,300,000","655,000,000","692,100,000","707,600,000","747,200,000","613,900,000","889,800,000","977,800,000","192,008,709.112","276,326,801.784","260,756,959.542","223,980,154.355",0,
36,			LongTermDebt,"535,000,000","65,600,000","601,300,000","655,000,000","692,100,000","707,600,000","747,200,000","613,900,000","889,800,000","977,800,000","192,008,709.112","276,326,801.784","260,756,959.542","223,980,154.355",0,
37,			LongTermCapitalLeaseObligation,"21,400,000","31,000,000",,,,,,,,,,,,,,
38,		NonCurrentAccruedExpenses,,,0,0,"12,000,000",0,,,,,,,,,,
39,		OtherNonCurrentLiabilities,"200,000","400,000","1,000,000","1,800,000","3,200,000","4,700,000","7,900,000","8,700,000","3,100,000","67,300,000","47,304,767.899","25,850,093.616","32,438,664.823","30,797,500.919","22,056,224.9",
40,TotalEquityGrossMinorityInterest,"109,100,000","108,400,000","147,200,000","200,400,000","29,600,000","197,300,000","542,800,000","634,600,000","926,200,000","1,286,800,000","556,889,894.368","108,249,424.068","55,656,259.142","16,776,920.25","214,232,931.727",
41,	StockholdersEquity,"109,100,000","108,400,000","147,200,000","200,400,000","29,600,000","197,300,000","542,800,000","634,600,000","926,200,000","1,286,800,000","556,872,884.383","108,163,142.046","55,512,852.136","15,968,393.973","214,232,931.727",
42,		CapitalStock,"1,500,000","1,500,000","1,500,000","1,500,000","600,000","600,000","579,200,000","579,200,000","733,300,000","732,800,000","446,069,842.998","206,800,748.928","171,858,956.341","201,837,559.721",0,
43,			CommonStock,"1,500,000","1,500,000","1,500,000","1,500,000","600,000","600,000","579,200,000","579,200,000","733,300,000","732,800,000","446,069,842.998","206,800,748.928","171,858,956.341","201,837,559.721",0,
44,			OtherCapitalStock,,,,,0,,,,,,0,,,,,
45,		AdditionalPaidInCapital,"928,100,000","927,600,000","926,700,000","926,000,000","823,700,000","823,300,000","821,100,000","816,100,000","779,600,000","775,500,000","230,944,564.459","28,179,708.194","22,414,515.084","9,518,559.353",0,
46,		RetainedEarnings,"-1,574,200,000","-1,566,700,000","-1,519,000,000","-1,466,000,000","-1,527,100,000","-1,361,200,000","-1,001,900,000","-902,200,000","-383,600,000",,"69,911,037.779","-132,046,005.574","19,288,242.346","7,129,731.716","-3,357,429.719",
47,		OtherEquityInterest,,,,,"-7,700,000",,,,"-205,100,000","-16,400,000","17,009.985","5,228,690.498","-158,048,861.635","-202,517,456.817","217,590,361.446",
48,	MinorityInterest,,,,,,,,,,0,"17,009.985","86,282.021","143,407.006","808,526.277",0,
49,TotalCapitalization,"644,100,000","174,000,000","748,500,000","855,400,000","721,700,000","904,900,000","1,290,000,000","1,248,500,000","1,816,000,000","2,264,600,000","748,881,593.495","384,489,943.83","316,269,811.678","239,948,548.328","214,232,931.727",
50,CommonStockEquity,"109,100,000","108,400,000","147,200,000","200,400,000","29,600,000","197,300,000","542,800,000","634,600,000","926,200,000","1,286,800,000","556,872,884.383","108,163,142.046","55,512,852.136","15,968,393.973","214,232,931.727",
51,CapitalLeaseObligations,"31,600,000","44,000,000",,,,,"4,300,000","2,900,000","2,100,000",,,,,,,
52,NetTangibleAssets,"-64,200,000","-63,800,000","-26,600,000","16,500,000","-146,300,000","18,300,000","281,100,000","275,000,000","90,500,000","184,600,000","142,645,733.045","-189,596,113.858","-197,514,469.767","-171,481,073.135","52,803,212.851",
53,WorkingCapital,"66,100,000","-456,200,000","85,600,000","124,200,000","-26,000,000","43,600,000","189,300,000","123,900,000","-50,500,000","171,900,000","237,476,398.646","11,820,636.934","24,479,575.974","34,766,629.915","40,417,670.683",
54,InvestedCapital,"652,900,000","721,400,000","753,200,000","862,600,000","852,800,000","999,900,000","1,349,900,000","1,396,500,000","2,143,400,000","2,373,000,000","750,752,691.83","429,494,646.201","347,632,923.954","239,948,548.328","214,232,931.727",
55,TangibleBookValue,"-64,200,000","-63,800,000","-26,600,000","16,500,000","-146,300,000","18,300,000","281,100,000","275,000,000","90,500,000","184,600,000","142,645,733.045","-189,596,113.858","-197,514,469.767","-171,481,073.135","52,803,212.851",
56,TotalDebt,"575,400,000","657,000,000","606,000,000","662,200,000","823,200,000","802,600,000","811,400,000","764,800,000","1,219,300,000","1,086,200,000","193,879,807.447","321,331,504.154","292,120,071.818","223,980,154.355",0,
57,NetDebt,"502,600,000","581,600,000","585,800,000","603,200,000","795,900,000","782,100,000","778,200,000","712,400,000","1,159,000,000","1,048,900,000","19,765,602.409","280,485,595.217","259,982,561.708","190,444,689.452",,
58,ShareIssued,"148,050,298","148,050,298","147,462,012","147,281,887","60,031,421","59,774,173","59,774,444","59,774,444","37,842,484","37,815,495","23,263,291","11,352,984","11,352,984","10,320,895","10,320,895",
59,OrdinarySharesNumber,"148,050,298","148,050,298","147,462,012","147,281,887","60,031,421","59,774,173","59,774,444","59,774,444","37,842,484","37,815,495","23,263,291","11,352,984","11,352,984","10,320,895","10,320,895",
0,TotalRevenue,"824,000,000","928,600,000","889,600,000","846,800,000","883,800,000","1,321,100,000","2,253,600,000","2,041,300,000","2,188,700,000","1,854,600,000","736,345,234.653","1,208,655,812.388","519,807,375.709","501,304,667.402","360,755,020.08","800,300,000"
1,	OperatingRevenue,"824,000,000","928,600,000","889,600,000","846,800,000","883,800,000","1,321,100,000","2,253,600,000","2,041,300,000","2,188,700,000","1,854,600,000","736,345,234.653","1,208,655,812.388","519,807,375.709","501,304,667.402","360,755,020.08","800,300,000"
2,CostOfRevenue,"48,000,000","50,400,000","55,700,000","63,700,000","72,600,000","79,200,000","145,900,000","161,400,000","205,000,000",,,,,,,"48,300,000"
3,GrossProfit,"776,000,000","878,200,000","833,900,000","783,100,000","811,200,000","1,241,900,000","2,107,700,000","1,879,900,000","1,983,700,000",,,,,,,"752,000,000"
4,OperatingExpense,"748,400,000","834,300,000","817,300,000","791,300,000","834,700,000","1,208,400,000","2,021,400,000","1,894,100,000","1,972,000,000","1,743,900,000","670,737,723.043","1,172,382,850.585","475,967,853.885","455,255,420.801","327,566,265.06","725,400,000"
5,	SellingGeneralAndAdministration,"33,900,000","39,200,000","35,800,000","32,100,000","38,500,000","55,100,000","80,900,000","61,300,000","132,500,000","92,100,000","25,855,176.989",,"374,392,671.328","364,737,228.96","282,024,096.386","34,800,000"
6,		GeneralAndAdministrativeExpense,"33,900,000","39,200,000","35,800,000","32,100,000","38,500,000","55,100,000","80,900,000","61,300,000","132,500,000","92,100,000","25,855,176.989",,"374,392,671.328","364,737,228.96","282,024,096.386","34,800,000"
7,			RentAndLandingFees,"9,900,000","12,700,000",,,,,,,,,,,,,,"9,000,000"
8,	OtherOperatingExpenses,"704,600,000","782,400,000","781,500,000","759,200,000","796,200,000","1,153,300,000","1,940,500,000","1,832,800,000","1,839,500,000","1,504,700,000","621,714,946.674","1,043,253,177.335","86,173,270.081","80,668,871.738","38,120,481.928","681,600,000"
9,OperatingIncome,"27,600,000","43,900,000","16,600,000","-8,200,000","-23,500,000","33,500,000","86,300,000","-14,200,000","11,700,000","110,700,000","65,607,511.609","36,272,961.803","43,839,521.824","46,049,246.601","33,188,755.02","26,600,000"
10,NetNonOperatingInterestIncomeExpense,"-32,100,000","-41,300,000","-33,900,000","-51,300,000","-63,500,000","-52,000,000","-40,500,000","-51,600,000","-60,700,000","-43,700,000","-36,979,707.088","-66,954,848.618","-23,231,935.019","-1,525,174.568","369,477.912","-16,700,000"
11,	InterestIncomeNonOperating,"3,800,000","1,900,000","3,700,000","3,000,000","1,900,000","2,500,000","3,000,000","1,300,000","1,700,000","3,700,000","1,581,928.592","1,052,640.661","3,628,197.259","4,061,006.983","931,726.908","4,100,000"
12,	InterestExpenseNonOperating,"33,500,000","41,500,000","41,900,000","46,000,000","63,000,000","50,200,000","46,100,000","51,800,000","61,500,000","46,400,000","22,606,269.88","61,208,465.992","21,267,259.033","6,192,576.259","514,056.225","32,000,000"
13,	TotalOtherFinanceCost,"2,400,000","1,700,000","-4,300,000","8,300,000","2,400,000","4,300,000","-2,600,000","1,100,000","900,000","1,000,000","15,955,365.8","6,799,023.288","5,592,873.245","-606,394.708","48,192.771","-11,200,000"
14,PretaxIncome,"4,100,000","-51,300,000","-67,600,000","53,100,000","-161,600,000","-119,500,000","-79,600,000","-511,600,000","-369,500,000","-62,500,000","28,287,604.824","-2,122,537.727","20,607,586.804","44,524,072.032","33,558,232.932","56,400,000"
15,TaxProvision,"11,600,000","-3,600,000","-14,600,000","-10,200,000","900,000","3,700,000","17,500,000","-2,600,000","6,300,000","14,500,000","15,751,245.981","-5,832,664.648","3,542,153.055","12,458,654.906","9,718,875.502","14,300,000"
16,NetIncomeCommonStockholders,"-7,500,000","-47,700,000","-53,000,000","61,100,000","-165,900,000","-359,300,000","-99,700,000","-518,600,000","-375,800,000","-77,000,000","12,604,398.782","2,588,460.642","17,567,358.271","32,322,675.487","23,839,357.43","42,200,000"
17,	NetIncome,"-7,500,000","-47,700,000","-53,000,000","61,100,000","-165,900,000","-359,300,000","-99,700,000","-518,600,000","-375,800,000","-77,000,000","12,536,358.843","4,003,485.794","17,567,358.271","32,065,417.126","23,839,357.43","42,200,000"
18,		NetIncomeIncludingNoncontrollingInterests,"-7,500,000","-47,700,000","-53,000,000","61,100,000","-165,900,000","-359,300,000","-99,700,000","-518,600,000","-375,800,000","-77,000,000","12,604,398.782","3,692,870.517","17,065,433.749","31,808,158.765","23,839,357.43","42,200,000"
19,			NetIncomeContinuousOperations,"-7,500,000","-47,700,000","-53,000,000","63,300,000","-162,500,000","-123,200,000","-97,100,000","-509,000,000","-375,800,000","-77,000,000","12,604,398.782","3,710,126.921","17,065,433.749","31,808,158.765","23,839,357.43","42,100,000"
20,			NetIncomeDiscontinuousOperations,,,0,"-2,200,000","-3,400,000","-236,100,000","-2,600,000","-9,600,000",,,,,,,,
21,		MinorityInterests,,,,,,,,,,0,"-68,039.939","310,615.277","501,924.522","257,258.361",0,
22,	PreferredStockDividends,,,,,,,,,,,,"1,415,025.151",,,,
23,	OtherunderPreferredStockDividend,0,0,0,0,0,0,0,0,0,0,"-68,039.939",0,0,"-257,258.361",0,0
24,DilutedNIAvailtoComStockholders,"-7,500,000","-47,700,000","-53,000,000","61,100,000","-165,900,000","-359,300,000","-99,700,000","-518,600,000","-375,800,000","-77,000,000","12,604,398.782","2,588,460.642","17,567,358.271","32,322,675.487","23,839,357.43","42,200,000"
25,BasicEPS,-0.05,-0.32,-0.36,0.46,-2.771,-6.007,-1.647,-9.108,-9.98,-2.325,0.808,0.1,1.584,3.134,2.304,
26,DilutedEPS,-0.05,-0.32,-0.36,0.46,-2.771,-6.007,-1.647,-9.108,-9.98,-2.325,0.775,0.1,1.584,3.08,2.272,
27,BasicAverageShares,"148,050,298","147,607,069","147,428,948","131,416,088","59,986,437","59,774,466","59,774,466","56,709,987","37,833,513","33,276,640","15,692,904","26,066,749","11,066,292","10,320,895","10,320,895",
28,DilutedAverageShares,"148,050,298","147,607,069","147,428,948","131,677,396","59,986,437","59,774,466","59,774,466","56,709,987","37,833,513","33,276,640","16,093,403","26,269,142","11,066,292","10,478,261","10,478,261",
29,TotalOperatingIncomeAsReported,"19,400,000","42,500,000","15,500,000","-10,700,000","-41,000,000","-12,500,000","25,900,000","-437,900,000","-327,000,000","-15,900,000","65,607,511.609","36,255,705.399","43,839,521.824","46,049,246.601","33,188,755.02","15,600,000"
30,RentExpenseSupplemental,"9,900,000","12,700,000",,,,,,,,,,,,,,"9,000,000"
31,TotalExpenses,"796,400,000","884,700,000","873,000,000","855,000,000","907,300,000","1,287,600,000","2,167,300,000","2,055,500,000","2,177,000,000","1,743,900,000","670,737,723.043","1,172,382,850.585","475,967,853.885","455,255,420.801","327,566,265.06","773,700,000"
32,NetIncomeFromContinuingAndDiscontinuedOperation,"-7,500,000","-47,700,000","-53,000,000","61,100,000","-165,900,000","-359,300,000","-99,700,000","-518,600,000","-375,800,000","-77,000,000","12,536,358.843","4,003,485.794","17,567,358.271","32,065,417.126","23,839,357.43","42,200,000"
33,NormalizedIncome,"-11,912,000","-44,598,245.614","-57,936,982.249","-23,636,000","-131,675,000","-39,420,000","7,392,000","336,246,716.185","203,380,000","14,152,000","12,536,358.843","-16,571,670.161","17,567,358.271","32,065,417.126","23,839,357.43","32,943,971.631"
34,InterestIncome,"3,800,000","1,900,000","3,700,000","3,000,000","1,900,000","2,500,000","3,000,000","1,300,000","1,700,000","3,700,000","1,581,928.592","1,052,640.661","3,628,197.259","4,061,006.983","931,726.908","4,100,000"
35,InterestExpense,"33,500,000","41,500,000","41,900,000","46,000,000","63,000,000","50,200,000","46,100,000","51,800,000","61,500,000","46,400,000","22,606,269.88","61,208,465.992","21,267,259.033","6,192,576.259","514,056.225","32,000,000"
36,NetInterestIncome,"-32,100,000","-41,300,000","-33,900,000","-51,300,000","-63,500,000","-52,000,000","-40,500,000","-51,600,000","-60,700,000","-43,700,000","-36,979,707.088","-66,954,848.618","-23,231,935.019","-1,525,174.568","369,477.912","-16,700,000"
37,EBIT,"37,600,000","-9,800,000","-25,700,000","99,100,000","-98,600,000","-69,300,000","-33,500,000","-459,800,000","-308,000,000","-16,100,000","50,893,874.704","59,085,928.265","41,874,845.837","50,716,648.291","34,072,289.157","88,400,000"
38,EBITDA,,,,,,,,,,,,,,,,"136,700,000"
39,ReconciledCostOfRevenue,"48,000,000","50,400,000","55,700,000","63,700,000","72,600,000","79,200,000","145,900,000","161,400,000","205,000,000",,,,,,,"48,300,000"
40,ReconciledDepreciation,"48,000,000","50,400,000","55,700,000","63,700,000","72,600,000","79,200,000","149,300,000","159,100,000","205,000,000","147,100,000","23,167,599.381","22,709,428.036","15,401,912.476","9,849,320.103","7,421,686.747","48,300,000"
41,NetIncomeFromContinuingOperationNetMinorityInterest,"-7,500,000","-47,700,000","-53,000,000","63,300,000","-162,500,000","-123,200,000","-97,100,000","-509,000,000","-375,800,000","-77,000,000","12,536,358.843","4,003,485.794","17,567,358.271","32,065,417.126","23,839,357.43","42,200,000"
42,TotalUnusualItemsExcludingGoodwill,"15,400,000","-1,400,000","7,700,000","118,600,000","-17,500,000","-46,000,000","-60,400,000","-423,700,000","-334,000,000","-126,600,000",,"28,576,605.493",,,,"12,400,000"
43,TotalUnusualItems,"23,000,000","400,000","8,800,000","121,800,000","200,000","4,200,000",0,0,"4,700,000","-126,600,000",,"28,576,605.493",,,,"20,000,000"
44,NormalizedEBITDA,"62,600,000","40,200,000","21,200,000","41,000,000","-26,200,000","5,700,000","115,800,000","-300,700,000","-107,700,000","257,600,000","74,061,474.085","159,638,996.022","57,276,758.313","60,565,968.394","41,493,975.904","116,700,000"
45,TaxRateForCalcs,0.22,0.07,0.216,0.24,0.25,0.27,0.27,0.005,0.28,0.28,0.28,0.28,0.172,0.28,0.29,0.254
46,TaxEffectOfUnusualItems,"3,388,000","-98,245.614","1,663,017.751","28,464,000","-4,375,000","-12,420,000","-16,308,000","-2,153,283.815","-93,520,000","-35,448,000",0,"8,001,449.538",0,0,0,"3,143,971.631"
