,name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,ttm
22,				BuildingsAndImprovements,"1,230,000,000","688,000,000","435,000,000","282,865,000","241,713,000","199,604,000","135,372,000","121,084,000","107,376,000",,,,,"30,746,000","24,431,000","20,711,000",,,,,
23,				MachineryFurnitureEquipment,"4,119,000,000","3,704,000,000","3,334,000,000","2,853,802,000","2,345,423,000","1,771,835,000","1,398,032,000","1,095,701,000","914,825,000","729,766,000","631,950,000","520,637,000","448,224,000","115,275,000","94,879,000","90,042,000",,,,,
24,				OtherProperties,"574,000,000","611,000,000",,,,,,,,,,,,"230,168,000","176,751,000","143,096,000",,,,,
25,				ConstructionInProgress,"51,000,000","510,000,000","531,000,000","365,262,000","252,835,000","163,839,000","30,807,000","45,394,000","42,473,000","57,022,000","28,867,000","19,401,000","27,760,000","53,395,000","36,209,000",,,,,,
26,				Leases,,,,,,,,,,"85,735,000","75,615,000","68,832,000","64,620,000",,,,,,,,
27,			AccumulatedDepreciation,"-3,289,000,000","-2,833,000,000","-2,552,000,000","-2,055,720,000","-1,575,879,000","-1,201,744,000","-1,011,085,000","-781,477,000","-655,301,000","-552,241,000","-459,371,000","-372,050,000","-292,650,000","-250,094,000","-195,126,000","-162,865,000",,,,,
28,		GoodwillAndOtherIntangibleAssets,"8,895,000,000","9,931,000,000","10,112,000,000","10,537,401,000","10,388,675,000","10,786,895,000","5,245,988,000","4,774,715,000","3,837,089,000","3,621,199,000","4,440,067,000","4,427,025,000","4,371,988,000","6,977,095,000","6,890,066,000","7,036,233,000","7,069,472,000","6,973,348,000",,,
29,			Goodwill,"7,380,000,000","8,127,000,000","8,120,000,000","8,228,865,000","7,942,023,000","7,992,941,000","3,955,901,000","3,663,674,000","3,015,670,000","2,877,301,000","3,642,360,000","3,603,994,000","3,538,569,000","6,006,338,000","5,861,292,000",,"5,790,111,000","5,650,322,000",,,
30,			OtherIntangibleAssets,"1,515,000,000","1,804,000,000","1,992,000,000","2,308,536,000","2,446,652,000","2,793,954,000","1,290,087,000","1,111,041,000","821,419,000","743,898,000","797,707,000","823,031,000","833,419,000","970,757,000","1,028,774,000","7,036,233,000","1,279,361,000","1,323,026,000",,,
31,		InvestmentsAndAdvances,"671,000,000","796,000,000","778,000,000","845,450,000","520,058,000","658,439,000","286,882,000","250,626,000","224,231,000","289,348,000","232,239,000","48,262,000","75,593,000",,,,"140,432,000","26,142,000",,,
32,		NonCurrentDeferredAssets,"659,000,000","145,000,000","69,000,000","17,930,000","23,658,000","15,458,000","10,053,000","14,151,000",,,,,,,,,,,,,
33,			NonCurrentDeferredTaxesAssets,"659,000,000","145,000,000","69,000,000","17,930,000","23,658,000","15,458,000","10,053,000","14,151,000",,,,,,,,,,,,,
34,		OtherNonCurrentAssets,,,,,,,,,,,,,,"93,182,000","59,289,000","39,431,000",,,,,
35,TotalLiabilitiesNetMinorityInterest,"14,664,000,000","15,880,000,000","12,382,000,000","12,387,060,000","10,084,443,000","10,574,045,000","7,126,809,000","5,480,496,000","4,695,807,000","4,200,091,000","3,914,291,000","3,187,430,000","3,512,918,000","3,415,406,000","2,303,138,000","1,951,355,000","1,366,123,000","1,200,969,000","3,203,082,000","101,946,000",
36,	CurrentLiabilities,"5,406,000,000","10,714,000,000","8,060,000,000","7,878,690,000","6,127,198,000","5,926,017,000","4,186,615,000","3,294,381,000","2,982,311,000","2,553,357,000","1,889,420,000","1,835,057,000","1,566,168,000","1,774,352,000","1,400,125,000","1,438,225,000","982,179,000","825,324,000",,,
37,		PayablesAndAccruedExpenses,"2,127,000,000","3,965,000,000","3,369,000,000","3,833,689,000","3,226,890,000","3,353,171,000","2,363,151,000","1,904,316,000","1,827,605,000","1,284,694,000","1,205,322,000","1,138,548,000","1,026,831,000","1,140,989,000","720,737,000","642,821,000","528,826,000","441,199,000",,,
38,			Payables,"1,148,000,000","2,915,000,000","2,561,000,000","2,568,870,000","2,136,064,000","1,883,446,000","1,609,526,000","1,367,421,000","1,237,100,000","951,457,000","882,495,000","813,364,000","775,593,000","852,277,000","720,737,000","642,821,000","528,826,000","441,199,000",,,
39,				AccountsPayable,"602,000,000","1,921,000,000","1,699,000,000","1,837,936,000","1,509,313,000","1,329,870,000","1,188,483,000","1,044,259,000","954,071,000","951,457,000","882,495,000","813,364,000","775,593,000","852,277,000","720,737,000","642,821,000","528,405,000","433,753,000",,,
40,				TotalTaxPayable,"50,000,000","88,000,000","74,000,000","33,374,000","49,739,000","68,019,000","59,661,000","61,874,000",,,,,,,,,"421,000","7,446,000",,,
41,					IncomeTaxPayable,"50,000,000","88,000,000","74,000,000","33,374,000","49,739,000","68,019,000","59,661,000","61,874,000",,,,,,,,,"421,000","7,446,000",,,
42,				OtherPayable,"496,000,000","906,000,000","788,000,000","697,560,000","577,012,000","485,557,000","361,382,000","261,288,000","283,029,000",,,,,,,,,,,,
43,			CurrentAccruedExpenses,"979,000,000","1,050,000,000","808,000,000","1,264,819,000","1,090,826,000","1,469,725,000","753,625,000","536,895,000","590,505,000","333,237,000","322,827,000","325,184,000","251,238,000","288,712,000",,,,,,,
44,		CurrentDebtAndCapitalLeaseObligation,,"749,000,000",,"500,000,000",,,,,,,,,,,,"230,755,000",,,,,
45,			CurrentDebt,,"749,000,000",,"500,000,000",,,,,,,,,,,,"230,755,000",,,,,
46,				OtherCurrentBorrowings,,"749,000,000",,,,,,,,,,,,,,,,,,,
47,		CurrentDeferredLiabilities,"3,279,000,000","6,000,000,000","4,691,000,000","3,545,001,000","2,900,308,000","2,572,846,000","1,823,464,000","1,390,065,000","1,154,706,000","848,863,000","684,098,000","696,509,000","539,337,000","11,957,000","10,317,000","10,246,000",,,,,
48,			CurrentDeferredTaxesLiabilities,,,,,,,,,,,,,,,,"3,178,000",,,,,
49,			CurrentDeferredRevenue,"3,279,000,000","6,000,000,000","4,691,000,000","3,545,001,000","2,900,308,000","2,572,846,000","1,823,464,000","1,390,065,000","1,154,706,000","848,863,000","684,098,000","17,204,000","15,774,000","11,957,000","10,317,000","7,068,000",,,,,
50,		OtherCurrentLiabilities,,,,,,,,,,"419,800,000",,,,"621,406,000","669,071,000","554,403,000","453,353,000","384,125,000",,,
51,	TotalNonCurrentLiabilitiesNetMinorityInterest,"9,258,000,000","5,166,000,000","4,322,000,000","4,508,370,000","3,957,245,000","4,648,028,000","2,940,194,000","2,186,115,000","1,713,496,000","1,646,734,000","2,024,871,000","1,352,373,000","1,946,750,000","1,641,054,000","903,013,000","513,130,000","383,944,000","375,645,000",,,
52,		LongTermDebtAndCapitalLeaseObligation,"8,729,000,000","4,721,000,000","3,717,000,000","3,749,054,000","3,159,336,000","3,201,277,000","1,746,787,000","1,249,412,000","1,249,345,000","1,249,281,000","1,644,894,000","895,086,000","1,544,548,000","1,085,000,000","500,000,000",,,,,,
53,			LongTermDebt,"8,216,000,000","4,189,000,000","3,717,000,000","3,749,054,000","3,159,336,000","3,201,277,000","1,746,787,000","1,249,412,000","1,249,345,000","1,249,281,000","1,644,894,000","895,086,000","1,544,548,000","1,085,000,000","500,000,000",,,,,,
54,			LongTermCapitalLeaseObligation,"513,000,000","532,000,000",,,,,,,,,,,,,,,,,,,
55,		NonCurrentDeferredLiabilities,"67,000,000","56,000,000","69,000,000","328,602,000","484,970,000","473,841,000","452,958,000","433,532,000","323,766,000","279,962,000","248,461,000","223,959,000","189,541,000","351,168,000","369,297,000","368,880,000","333,696,000","372,324,000",,,
56,			NonCurrentDeferredTaxesLiabilities,"67,000,000","56,000,000","69,000,000","328,602,000","484,970,000","473,841,000","452,958,000","433,532,000","323,766,000","279,962,000","248,461,000","223,959,000","189,541,000","351,168,000","369,297,000","368,880,000","333,696,000","372,324,000",,,
57,		PreferredSecuritiesOutsideStockEquity,,"15,000,000","30,000,000","22,334,000",0,"658,478,000","560,073,000","364,871,000",,,,,,,,,,,,,
58,		LiabilitiesHeldforSaleNonCurrent,,,,,,,,,,0,,,,,,,,,,,
59,		OtherNonCurrentLiabilities,"462,000,000","374,000,000","506,000,000","408,380,000","312,939,000","314,432,000","180,376,000","138,300,000","140,385,000","117,491,000","131,516,000","233,328,000","212,661,000","204,886,000","33,716,000","144,250,000","50,248,000","3,321,000",,,
60,TotalEquityGrossMinorityInterest,"4,026,000,000","5,536,000,000","5,651,000,000","6,128,568,000","5,693,103,000","4,929,767,000","1,893,729,000","2,258,985,000","2,389,388,000","2,305,167,000","2,736,703,000","2,749,726,000","2,381,331,000","4,880,016,000","5,966,046,000","5,805,537,000","8,171,064,000","7,554,301,000",,"541,889,000",
61,	StockholdersEquity,"2,532,000,000","3,967,000,000","4,104,000,000","4,522,335,000","4,132,301,000","4,864,394,000","1,784,267,000","2,145,464,000","2,280,259,000","2,199,864,000","2,672,544,000","2,682,681,000","2,328,394,000","4,818,081,000","5,904,290,000","5,733,763,000","8,152,629,000","7,554,301,000",,"225,890,000",
62,		CapitalStock,"1,022,000,000",0,0,"24,000","23,000","23,000","21,000","20,000","20,000","19,000","374,000","369,000","366,000","363,000","354,000","349,000",,,,,
63,			PreferredStock,"1,022,000,000","15,000,000","30,000,000","22,334,000",0,"658,478,000","560,073,000","364,871,000",,,,0,0,,,,,,,,
64,			CommonStock,0,0,0,"24,000","23,000","23,000","21,000","20,000","20,000","19,000","374,000","369,000","366,000","363,000","354,000","349,000",,,,,
65,		AdditionalPaidInCapital,"13,566,000,000","12,978,000,000","9,549,000,000","9,162,909,000","8,794,298,000","8,696,508,000","5,892,862,000","5,802,140,000","5,675,075,000","5,474,653,000","6,116,697,000","6,034,164,000","5,979,484,000","5,902,582,000","5,903,200,000","5,695,498,000",,,,,
66,		RetainedEarnings,"-1,959,000,000","662,000,000","297,000,000","182,145,000","-151,365,000","222,772,000","-110,496,000","-191,021,000","-442,046,000","-722,239,000","-1,194,533,000","-1,616,033,000","-1,915,559,000","602,204,000","309,912,000","64,978,000",,,,,
67,		TreasuryStock,"10,097,000,000","9,673,000,000","5,742,000,000","4,822,743,000","4,510,655,000","4,054,909,000","3,998,120,000","3,465,675,000","2,952,790,000","2,535,219,000","2,241,191,000","1,739,198,000","1,731,235,000","1,718,833,000","321,155,000","25,464,000",,,,,
68,		GainsLossesNotAffectingRetainedEarnings,,,,,,,,,,"-17,350,000","-8,803,000","3,379,000","-4,662,000","31,765,000","11,979,000","-1,598,000","33,668,000","-4,027,000",,,
69,			ForeignCurrencyTranslationAdjustments,,,,,,,,,,,,,,"31,426,000","14,658,000",,,,,,
70,			OtherEquityAdjustments,,,,,,,,,,,,,,"339,000","-2,679,000",,,,,,
71,		OtherEquityInterest,,,,,,,,,,,,,,,,,"8,118,961,000","7,558,328,000",,,
72,	MinorityInterest,"1,494,000,000","1,569,000,000","1,547,000,000","1,606,233,000","1,560,802,000","65,373,000","109,462,000","113,521,000","109,129,000","105,303,000","64,159,000","67,045,000","52,937,000","61,935,000","61,756,000","71,774,000","18,435,000",0,"592,054,000","315,999,000",
73,TotalCapitalization,"10,748,000,000","8,156,000,000","7,821,000,000","8,271,389,000","7,291,637,000","8,065,671,000","3,531,054,000","3,394,876,000","3,529,604,000","3,449,145,000","4,317,438,000","3,577,767,000","3,872,942,000","5,903,081,000","6,404,290,000","5,733,763,000","8,152,629,000","7,554,301,000",,"225,890,000",
74,PreferredStockEquity,"1,022,000,000","15,000,000","30,000,000","22,334,000",,"658,478,000","560,073,000","364,871,000",,,,,,,,,,,,,
75,CommonStockEquity,"1,510,000,000","3,967,000,000","4,104,000,000","4,522,335,000","4,132,301,000","4,864,394,000","1,784,267,000","2,145,464,000","2,280,259,000","2,199,864,000","2,672,544,000","2,682,681,000","2,328,394,000","4,818,081,000","5,904,290,000","5,733,763,000","8,152,629,000","7,554,301,000",,"225,890,000",
76,CapitalLeaseObligations,"513,000,000","532,000,000",,,,,,,,,,,,,,,,,,,
77,NetTangibleAssets,"-6,363,000,000","-5,964,000,000","-6,008,000,000","-6,015,066,000","-6,256,374,000","-5,922,501,000","-3,461,721,000","-2,629,251,000","-1,556,830,000","-1,421,335,000","-1,767,523,000","-1,744,344,000","-2,043,594,000","-2,159,014,000","-985,776,000","-1,302,470,000","1,083,157,000","580,953,000",,"225,890,000",
78,WorkingCapital,"228,000,000","-2,979,000,000","-2,863,000,000","-2,339,101,000","-2,676,947,000","-2,947,256,000","-1,262,126,000","-1,075,094,000","-367,809,000","-278,928,000","-187,793,000","-610,008,000","-367,454,000","-728,697,000","-217,440,000","-847,981,000","1,263,678,000","854,838,000",,,
79,InvestedCapital,"9,726,000,000","8,905,000,000","7,821,000,000","8,771,389,000","7,291,637,000","8,065,671,000","3,531,054,000","3,394,876,000","3,529,604,000","3,449,145,000","4,317,438,000","3,577,767,000","3,872,942,000","5,903,081,000","6,404,290,000","5,964,518,000","8,152,629,000","7,554,301,000",,"225,890,000",
80,TangibleBookValue,"-7,385,000,000","-5,964,000,000","-6,008,000,000","-6,015,066,000","-6,256,374,000","-5,922,501,000","-3,461,721,000","-2,629,251,000","-1,556,830,000","-1,421,335,000","-1,767,523,000","-1,744,344,000","-2,043,594,000","-2,159,014,000","-985,776,000","-1,302,470,000","1,083,157,000","580,953,000",,"225,890,000",
81,TotalDebt,"8,729,000,000","5,470,000,000","3,717,000,000","4,249,054,000","3,159,336,000","3,201,277,000","1,746,787,000","1,249,412,000","1,249,345,000","1,249,281,000","1,644,894,000","895,086,000","1,544,548,000","1,085,000,000","500,000,000","230,755,000",,,,,
82,NetDebt,"4,853,000,000","1,623,000,000","1,274,000,000","1,402,325,000","1,362,525,000","1,524,978,000","344,087,000","228,379,000",,"560,147,000","930,562,000","252,542,000","879,136,000","467,614,000",,,,,,,
83,ShareIssued,"267,087,000","262,214,999","244,293,000","241,267,000","237,109,000","233,183,000","209,602,000","205,362,000","202,055,000","189,178,000","187,008,000","184,206,000","182,745,423","142,798,949","165,750,523","174,334,549",,,,,
84,OrdinarySharesNumber,"143,597,000","142,598,999","147,134,000","151,739,000","150,032,000","150,259,000","127,067,000","129,686,000","135,330,000","133,581,000","136,973,500","144,764,500","143,669,923","142,798,949","165,750,523","174,334,549",,,,,
85,PreferredSharesNumber,,,,,1,,,,,,,1,375,,,,,,,,
86,TreasurySharesNumber,"130,767,000","126,893,000","97,159,000","89,528,000","87,077,000","82,924,000","82,535,000","75,676,000","66,725,000","55,597,000","50,034,500","39,441,500","39,075,500",,,,,,,,
0,TotalRevenue,"5,199,000,000","12,067,000,000","11,223,000,000","10,059,844,000","8,773,564,000","6,672,317,000","5,763,485,000","4,771,259,000","4,030,347,000","3,449,009,000","3,348,109,000","2,955,426,000","2,937,013,000","2,665,332,000","2,237,586,000","2,119,455,000","1,843,013,000","2,339,813,000","1,499,075,000","536,497,000","5,199,000,000"
1,	OperatingRevenue,"5,199,000,000","12,067,000,000","11,223,000,000","10,059,844,000","8,773,564,000","6,672,317,000","5,763,485,000","4,771,259,000","4,030,347,000","3,449,009,000","3,348,109,000","2,955,426,000","2,937,013,000","2,665,332,000","2,237,586,000","2,119,455,000","1,843,013,000","2,339,813,000","1,499,075,000","536,497,000","5,199,000,000"
2,CostOfRevenue,"1,680,000,000","2,163,000,000","1,965,000,000","1,756,531,000","1,596,698,000","1,309,559,000","1,179,081,000","1,038,034,000","898,604,000","761,272,000","692,832,000","607,251,000","634,744,000","562,401,000","502,638,000","470,716,000","412,701,000","1,199,414,000",,,"1,680,000,000"
3,GrossProfit,"3,519,000,000","9,904,000,000","9,258,000,000","8,303,313,000","7,176,866,000","5,362,758,000","4,584,404,000","3,733,225,000","3,131,743,000","2,687,737,000","2,655,277,000","2,348,175,000","2,302,269,000","2,102,931,000","1,734,948,000","1,648,739,000","1,430,312,000","1,140,399,000",,,"3,519,000,000"
4,OperatingExpense,"5,046,000,000","8,943,000,000","8,475,000,000","7,636,025,000","6,597,869,000","4,948,908,000","3,999,471,000","3,222,774,000","2,582,994,000","2,208,128,000","1,917,820,000","1,742,593,000","1,735,222,000","1,573,862,000","1,383,619,000","1,251,687,000","1,189,839,000","885,217,000",,"520,686,000","5,046,000,000"
5,	SellingGeneralAndAdministration,"3,143,000,000","6,982,000,000","6,575,000,000","5,973,793,000","5,045,709,000","3,954,999,000","3,233,702,000","2,573,223,000","2,066,391,000","1,805,204,000","1,518,250,000","1,317,546,000","1,456,834,000","1,313,810,000","1,075,844,000","909,018,000","845,057,000","643,807,000",,,"3,143,000,000"
6,		GeneralAndAdministrativeExpense,"597,000,000","847,000,000","808,000,000","675,961,000","678,292,000","573,913,000","425,373,000","377,078,000","345,354,000","1,805,204,000","314,109,000","290,484,000","355,431,000",,,,,,,,"597,000,000"
7,			SalariesAndWages,"434,000,000","522,000,000","520,000,000",,,,,,,,,,,,,,,,,,"434,000,000"
8,			OtherGandA,"163,000,000","325,000,000","288,000,000","675,961,000","678,292,000","573,913,000","425,373,000","377,078,000","345,354,000","1,805,204,000","314,109,000","290,484,000","355,431,000",,,,,,,,"163,000,000"
9,		SellingAndMarketingExpense,"2,546,000,000","6,135,000,000","5,767,000,000","5,297,832,000","4,367,417,000","3,381,086,000","2,808,329,000","2,196,145,000","1,721,037,000","1,474,641,000","1,204,141,000","1,027,062,000","1,101,403,000",,,,,,,,"2,546,000,000"
10,	ResearchAndDevelopment,"1,010,000,000","1,763,000,000","1,617,000,000","1,386,787,000","1,235,019,000","830,244,000","686,154,000","577,820,000","484,898,000","380,999,000","362,447,000","319,708,000","208,952,000","182,483,000","140,371,000",,,,,,"1,010,000,000"
11,	DepreciationAmortizationDepletionIncomeStatement,"893,000,000","198,000,000","283,000,000","275,445,000","317,141,000","163,665,000","79,615,000","71,731,000","31,705,000","21,925,000","37,123,000","37,681,000","69,436,000","77,569,000","120,404,000","138,664,000","344,782,000","241,410,000",,,"893,000,000"
12,		DepreciationAndAmortizationInIncomeStatement,"893,000,000","198,000,000","283,000,000","275,445,000","317,141,000","163,665,000","79,615,000","71,731,000","31,705,000","21,925,000","37,123,000","37,681,000","69,436,000","77,569,000","120,404,000","138,664,000","344,782,000","241,410,000",,,"893,000,000"
13,			DepreciationIncomeStatement,"739,000,000",,,,,,,,,,,,,,,,"31,563,000","27,582,000",,,"739,000,000"
14,			Amortization,"154,000,000","198,000,000","283,000,000","275,445,000","317,141,000","163,665,000","79,615,000","71,731,000","31,705,000","21,925,000","37,123,000","37,681,000","69,436,000","77,569,000","120,404,000","138,664,000","313,219,000","213,828,000",,,"154,000,000"
15,				AmortizationOfIntangiblesIncomeStatement,"154,000,000","198,000,000","283,000,000","275,445,000","317,141,000","163,665,000","79,615,000","71,731,000","31,705,000","21,925,000","37,123,000","37,681,000","69,436,000","77,569,000","120,404,000","138,664,000","313,219,000","213,828,000",,,"154,000,000"
16,	OtherTaxes,,,,,,,,,,,,"67,658,000",,,,,,,,,
17,	OtherOperatingExpenses,,,,,,,,,,,,,"208,952,000",,"47,000,000","204,005,000",,,,,
18,OperatingIncome,"-1,527,000,000","961,000,000","783,000,000","667,288,000","578,997,000","413,850,000","584,933,000","510,451,000","548,749,000","479,609,000","737,457,000","605,582,000","567,047,000","529,069,000","351,329,000","397,052,000","240,473,000","255,182,000","1,499,075,000","15,811,000","-1,527,000,000"
19,NetNonOperatingInterestIncomeExpense,"-342,000,000","-114,000,000","-119,000,000","-147,575,000","-153,422,000","-109,500,000","-70,801,000","-62,579,000","-61,392,000","-70,500,000","-94,131,000","-78,027,000","-41,573,000",,,,,,,,"-342,000,000"
20,	InterestIncomeNonOperating,"18,000,000","59,000,000","71,000,000","34,137,000","19,726,000","16,695,000","27,288,000","24,779,000","26,396,000","20,218,000","7,160,000","6,206,000","30,411,000",,,,,,,,"18,000,000"
21,	InterestExpenseNonOperating,"360,000,000","173,000,000","190,000,000","181,712,000","173,148,000","126,195,000","98,089,000","87,358,000","87,788,000","90,718,000","101,291,000","84,233,000","71,984,000",,,,,,,,"360,000,000"
22,OtherIncomeExpense,"-1,282,000,000","-72,000,000","-179,000,000","-102,949,000","-148,975,000","621,612,000","-49,491,000","-147,179,000","-137,300,000","-7,037,000","-22,758,000","-69,532,000","-3,040,178,000","-18,607,000","-28,230,000","-235,859,000","-9,252,000","-19,393,000",,,"-1,282,000,000"
23,	GainOnSaleOfSecurity,"-71,000,000","-26,000,000","-108,000,000","-59,932,000","-15,244,000","24,787,000","6,069,000","-473,000","-16,179,000",,,,,,,,,,,,"-71,000,000"
24,	EarningsFromEquityInterest,,,,"232,000","-1,490,000","-13,000","2,743,000","-2,315,000","-5,163,000",,,,,"-2,614,000",,,,,,,
25,	SpecialIncomeCharges,"-1,205,000,000","-58,000,000","-69,000,000","-40,472,000","-129,412,000","585,926,000","-64,386,000","-144,391,000","-117,025,000","-7,037,000","-22,758,000","-69,532,000","-3,040,178,000","-15,993,000","-28,230,000","-235,859,000","-9,252,000","-19,393,000",,,"-1,205,000,000"
26,		RestructuringAndMergernAcquisition,"231,000,000","24,000,000",0,"16,738,000","55,907,000","104,871,000","25,630,000","66,472,000",,0,0,,,,,,0,"11,664,000",,,"231,000,000"
27,		ImpairmentOfCapitalAssets,"974,000,000",0,"128,000,000",0,"34,890,000",,,,,,,0,"2,996,000,000",,,,,,,,"974,000,000"
28,		WriteOff,,,,,"12,117,000",,,,,,,,,,,,,,,,
29,		OtherSpecialCharges,"-13,000,000","34,000,000","-59,000,000","25,412,000","26,498,000","-104,587,000","41,539,000","77,919,000","117,025,000","7,037,000","22,758,000","69,532,000","44,178,000",,,,"9,252,000","7,729,000",,,"-13,000,000"
30,		GainOnSaleOfBusiness,"-13,000,000",,,"1,678,000",0,"586,210,000","2,783,000",,,,,,,,,,,,,,"-13,000,000"
31,	OtherNonOperatingIncomeExpenses,"-6,000,000","12,000,000","-2,000,000","-2,777,000","-2,829,000","10,912,000","6,083,000","-2,788,000","1,067,000",,,,,,,,,,,,"-6,000,000"
32,PretaxIncome,"-3,151,000,000","775,000,000","485,000,000","416,764,000","276,600,000","925,962,000","464,641,000","300,693,000","350,057,000","402,072,000","620,568,000","458,023,000","-2,514,704,000","496,984,000","384,898,000","413,871,000","269,543,000","255,498,000",,,"-3,151,000,000"
33,TaxProvision,"-423,000,000","203,000,000","87,000,000","45,405,000","15,315,000","203,214,000","91,691,000","84,335,000","47,078,000","75,731,000","195,008,000","154,400,000","5,966,000","203,114,000","139,451,000","185,977,000","106,371,000","97,202,000",,,"-423,000,000"
34,NetIncomeCommonStockholders,"-2,687,000,000","565,000,000","406,000,000","377,964,000","281,848,000","764,465,000","398,097,000","232,850,000","280,171,000","472,294,000","421,500,000","299,526,000","-2,517,763,000","295,864,000","244,934,000","228,730,000","163,473,000","111,407,000","76,713,000","8,901,000","-2,687,000,000"
