,name,02/29/2020,02/28/2019,02/28/2018,02/28/2017,02/29/2016,02/28/2015,02/28/2014,02/28/2013,02/29/2012,02/28/2011,02/28/2010,02/28/2009,02/29/2008,02/28/2007
20,"				Leases",,,,,,,,,,,0,,,
21,"			AccumulatedDepreciation",,,,,,"-65,030",,,,,0,"-100,615",,
22,"		GoodwillAndOtherIntangibleAssets","6,712,547","1,941,816","1,274,453","772,069","2,625,086","189,235","4,081,327","4,288,761","96,591","3,175,506","12,099,652","7,052,964",,
23,"			OtherIntangibleAssets","6,712,547","1,941,816","1,274,453","772,069","2,625,086","189,235","4,081,327","4,288,761","96,591","3,175,506",,"7,052,964",,
24,"		InvestmentsAndAdvances","1,849,077","8,096,239",,0,"56,000","5,705,734",,,,,,,,
25,"			LongTermEquityInvestment","1,849,077","8,096,239",,0,"56,000",,,,,,,,,
26,"				InvestmentsinAssociatesatCost","1,849,077","8,096,239",,,,,,,,,,,,
27,"		NonCurrentAccountsReceivable",,"12,410",,,,"881,587",,,,,,,,
28,"		NonCurrentNoteReceivables",,0,"2,900,000",,,,,,,,,,,
29,"		OtherNonCurrentAssets",,,,,,,,,"305,000",,"343,333","696,128",,
30,TotalLiabilitiesNetMinorityInterest,"4,078,849","2,280,199","4,627,324","3,018,467","3,035,694","13,134,079","13,905,982","13,709,052","14,696,097","14,810,964","11,597,412","2,571,662","50,937","43,860"
31,"	CurrentLiabilities","4,078,849","2,280,199","1,727,324","3,018,467","3,035,694","13,134,079","13,905,982","13,672,111","14,607,206","14,785,559","5,100,391","1,871,385","50,937","43,860"
32,"		PayablesAndAccruedExpenses","833,679","692,383","428,120","262,493","588,513","3,362,722","2,314,963","4,292,442","1,935,598","11,438,950","3,151,851","968,452","7,890","6,489"
33,"			Payables","833,679","692,383","428,120",,,"2,252,846","1,448,379","3,613,160","1,080,902","10,856,050","2,680,488",,"7,890","4,989"
34,"				AccountsPayable","833,679","692,383","428,120",,,"1,277,957","1,448,379","2,518,160","1,080,902","2,206,359","779,778",,"7,890","4,989"
35,"				DuetoRelatedPartiesCurrent",,,,,,"974,889",,"1,095,000",,"8,649,691","1,900,710",,,
36,"			CurrentAccruedExpenses",,,,,,"1,109,876","866,584","679,282","854,696","582,900","471,363",,,"1,500"
37,"				InterestPayable",,,,,,"1,054,631","603,695","533,456","639,542","346,120","319,938",,,
38,"		CurrentDebtAndCapitalLeaseObligation","2,844,478","1,543,000","1,193,000","2,602,326","2,386,611","9,276,458","9,657,435","8,607,900","9,668,545","1,553,878","952,891","352,642",,
39,"			CurrentDebt","2,767,716","1,543,000","1,193,000","2,602,326","2,386,611","9,276,458","9,657,435","8,607,900","9,643,140","1,502,639","900,963","309,479",,
40,"				CurrentNotesPayable","1,575,000","350,000",,0,"2,386,611","8,897,458","8,628,435","8,607,900","1,030,681","1,502,639","900,963","309,479",,
41,"				LineOfCredit","1,192,716","1,193,000","1,193,000","1,193,000",,,,,,,,,,
42,"				OtherCurrentBorrowings",,"350,000",,"1,409,326",,"379,000","1,029,000",,"8,612,459",,,,,
43,"			CurrentCapitalLeaseObligation","76,762",,,,,,,0,"25,405","51,239","51,928","43,163",,
44,"		CurrentDeferredLiabilities",,,,,,,"453,868","76,891","1,414,908","95,579","178,450",,,
45,"		OtherCurrentLiabilities","400,692","44,816","106,204","153,648","60,570","494,899","1,479,716","694,878","1,588,155","1,697,152","817,199","550,291","43,047","37,371"
46,"	TotalNonCurrentLiabilitiesNetMinorityInterest",0,0,"2,900,000",0,0,0,0,"36,941","88,891","25,405","6,497,021","700,277",,
47,"		LongTermDebtAndCapitalLeaseObligation",,,,,,,,"36,941","88,891","25,405","6,497,021","700,277",,
48,"			LongTermDebt",,,,,,,,"36,941","88,891",,"6,477,469","628,807",,
49,"			LongTermCapitalLeaseObligation",,,,,,,,,0,"25,405","19,552","71,470",,
50,"		NonCurrentDeferredLiabilities",,0,"2,900,000",,,,,,,,,,,
51,"			NonCurrentDeferredRevenue",,0,"2,900,000",,,,,,,,,,,
52,TotalEquityGrossMinorityInterest,"6,147,435","7,867,647","1,204,400","-431,439","-137,610","-6,034,746","-9,413,084","-9,119,274","-14,233,450","-10,266,139","3,808,333","5,656,630","-34,956","-43,824"
53,"	StockholdersEquity","6,147,435","7,867,647","1,204,400","-431,439","-618,002","-6,034,746","-13,611,428","-9,078,485","-14,233,450","-10,266,139","3,808,333","5,656,630","-34,956","-43,824"
54,"		CapitalStock",131,96,80,"18,807","18,766","22,384","22,348","23,805","18,108","7,181","6,126","5,295",55,50
55,"			PreferredStock",,0,0,"18,696","18,699","22,173","22,172","23,675","18,096","6,632","5,798","5,048",,
56,"			CommonStock",131,96,80,111,67,211,176,130,12,549,328,247,55,50
57,"		AdditionalPaidInCapital","122,000,201","114,265,762","111,901,094","100,209,386","92,925,589","80,026,487","73,877,065","61,958,113","52,735,408","43,067,860","33,763,778","11,732,549","75,722","12,123"
58,"		RetainedEarnings","-115,852,897","-106,398,211","-110,696,774","-100,659,632","-93,562,357","-86,078,617","-87,625,076","-71,193,862","-66,983,176","-53,215,394","-29,961,571","-6,081,214","-110,733","-55,997"
59,"		TreasuryStock",,,,,,,,,0,"125,786",,,,
60,"		GainsLossesNotAffectingRetainedEarnings",,,,,0,0,"119,235","33,459",,,,,,
61,"		OtherEquityInterest",,,,,,"-5,000","-5,000","100,000","-3,790",,,,,
62,"	MinorityInterest",,,,0,"480,392",0,"4,198,344","-40,789",,,,,,
63,TotalCapitalization,"6,147,435","7,867,647","1,204,400","-431,439","-618,002","-6,034,746","-13,611,428","-9,041,544","-14,144,559","-10,266,139","10,285,802","6,285,437","-34,956","-43,824"
64,PreferredStockEquity,,,,"18,696","18,699","22,173","22,172","23,675","18,096","6,632","5,798","5,048",,
65,CommonStockEquity,"6,147,435","7,867,647","1,204,400","-450,135","-636,701","-6,056,919","-13,633,600","-9,102,160","-14,251,546","-10,272,771","3,802,535","5,651,582","-34,956","-43,824"
66,CapitalLeaseObligations,"76,762",,,,,,,0,"25,405","76,644","71,480","114,633",,
67,NetTangibleAssets,"-565,112","5,925,831","-70,053","-1,203,508","-3,243,088","-6,223,981","-17,692,755","-13,367,246","-14,330,041","-13,441,645","-8,291,319","-1,396,334","-34,956","-43,824"
68,WorkingCapital,"-2,510,615","-2,182,818","-70,053","-1,203,508","-2,818,696","-12,811,302","-13,549,796","-13,371,094","-14,546,150","-13,416,240","-2,137,631","-1,582,950","-34,956","-43,824"
69,InvestedCapital,"8,915,151","9,410,647","2,397,400","2,152,191","1,749,910","3,219,539","-3,976,165","-457,319","-4,519,515","-8,770,132","11,180,967","6,589,868","-34,956","-43,824"
70,TangibleBookValue,"-565,112","5,925,831","-70,053","-1,222,204","-3,261,787","-6,246,154","-17,714,927","-13,390,921","-14,348,137","-13,448,277","-8,297,117","-1,401,382","-34,956","-43,824"
71,TotalDebt,"2,844,478","1,543,000","1,193,000","2,602,326","2,386,611","9,276,458","9,657,435","8,644,841","9,757,436","1,579,283","7,449,912","1,052,919",,
72,NetDebt,"2,605,210","1,510,021",,"1,595,261","2,248,667","9,050,046","9,512,955","8,579,878","9,719,042","822,420","6,960,181","919,485",,
73,ShareIssued,"13,064,339","9,590,956","8,001,266","4,453,575","2,674,616","168,866","140,634","103,823","9,200",879,524,394,393,393
74,OrdinarySharesNumber,"13,064,339","9,590,956","8,001,266","4,453,575","2,674,616","168,866","140,634","103,823","9,200",877,524,394,393,393
75,PreferredSharesNumber,,,,,,"3,534,614","3,404,434","3,950,291","1,809,611","663,243","579,763",8,,
76,TreasurySharesNumber,,,,,,,,,,2,,,,
0,TotalRevenue,"441,769","505,187","430,797","400,277","544,658","1,093,456","1,563,375","987,115","1,292,517","2,543,000","1,320,225","2,755,608",,
1,"	OperatingRevenue","441,769","505,187","430,797","400,277","544,658","1,093,456","1,563,375","987,115","1,292,517","2,543,000","1,320,225","2,755,608",,
2,CostOfRevenue,"352,963","400,814","328,335","359,239","217,302","355,995","412,225","501,460","3,558,714","9,964,619","3,456,658","1,410,113",,
3,GrossProfit,"88,806","104,373","102,462","41,038","327,356","737,461","1,151,150","485,655","-2,266,197","-7,421,619","-2,136,433","1,345,495",,
4,OperatingExpense,"6,056,421","5,332,153","5,741,115","6,972,816","3,855,998","6,049,696","9,368,450","5,315,808","11,691,200","12,788,514","8,955,569","3,084,420","51,282","33,533"
5,"	SellingGeneralAndAdministration","4,608,784","4,171,125","5,234,776","6,728,332","3,801,152","5,707,157","9,368,450","5,315,808","11,691,200","12,788,514","8,955,569","3,084,420","51,282","33,533"
6,"		GeneralAndAdministrativeExpense","4,473,481","4,171,125","5,150,352","6,551,617","3,779,228","5,465,719","9,059,091","5,184,304","11,641,899","12,348,941","8,884,309","3,042,085",,
7,"			SalariesAndWages","2,163,243","2,264,081","2,536,303","1,539,112","1,807,212","2,045,183","2,546,077","1,566,043","1,465,927","1,978,077","1,936,501","1,553,546",,
8,"			OtherGandA","2,310,238","1,907,044","2,614,049","5,012,505","1,972,016","3,420,536","6,513,014","3,618,261","10,175,972","10,370,864","6,947,808","1,488,539",,
9,"		SellingAndMarketingExpense","135,303",,"84,424","176,715","21,924","241,438","309,359","131,504","49,301","439,573","71,260","42,335",,
10,"	ResearchAndDevelopment","1,447,637","1,071,553","506,339","244,484","54,846","342,539",,,,,,,,
11,"	OtherOperatingExpenses",,"89,475",,,,,,,,,,,,
12,OperatingIncome,"-5,967,615","-5,227,780","-5,638,653","-6,931,778","-3,528,642","-5,312,235","-8,217,300","-4,830,153","-13,957,397","-20,210,133","-11,092,002","-1,738,925","-51,282","-33,533"
13,NetNonOperatingInterestIncomeExpense,"-164,177","-163,195","-198,038","-248,200","-384,899","-1,054,758","-1,129,388","-1,774,792","-1,231,199","-553,893","-642,164","-119,195",,
14,"	InterestIncomeNonOperating",,,,,,,,,,,,42,,
15,"	InterestExpenseNonOperating","164,177","163,195","198,038","248,200","384,899","1,054,758","1,129,388","1,774,792","1,231,199","553,893","642,164","119,237",,
16,OtherIncomeExpense,"-3,322,894","9,689,538","-4,200,451","82,703","-636,943","6,316,507","-8,949,114","2,371,843","1,537,530","-2,406,317","-130,066","14,553",,
17,"	GainOnSaleOfSecurity","-3,282,338","4,485,738",,"66,011","287,149","1,077,787","-952,026","2,081,029",,"26,514",,,,
18,"	EarningsFromEquityInterest",,,,,,"-872,791",,,,,,,,
19,"	SpecialIncomeCharges","-75,000","5,203,800","-2,227,800","16,692","-924,092","6,111,511","-7,997,088","290,814","1,537,530","-2,432,831","-130,066","14,553",,
20,"		ImpairmentOfCapitalAssets",,0,"2,085,000",,0,"125,000",,0,"1,856,054","7,269,830",,0,,
21,"		OtherSpecialCharges","75,000","46,200","142,800","-16,692","2,007,022","18,677","7,997,088","-290,814","-3,393,584","-4,836,999","130,066","-14,553",,
22,"		GainOnSaleOfBusiness",,,,0,"1,082,930","6,255,188",,,,,,,,
23,"		GainOnSaleOfPPE",0,"5,250,000",,,,,,,,,,,,
24,"	OtherNonOperatingIncomeExpenses","34,444",,"-1,972,651",,,,,,,,,,,
25,PretaxIncome,"-9,454,686","4,298,563","-10,037,142","-7,097,275","-4,550,484","-50,486","-18,295,802","-4,233,102",,"-23,170,343","-11,864,232",,,
26,NetIncomeCommonStockholders,"-9,454,686","4,298,563","-10,037,142","-7,097,275","-4,550,484","1,546,459","-16,431,214","-4,210,686","-13,651,066","-23,170,343","-11,864,232","-1,843,567","-54,736","-35,156"
27,"	NetIncome","-9,454,686","4,298,563","-10,037,142","-7,097,275","-4,550,484","1,549,040","-16,414,520","-4,192,313","-13,651,066","-23,170,343","-11,864,232","-1,843,567","-54,736","-35,156"
28,"		NetIncomeIncludingNoncontrollingInterests","-9,454,686","4,298,563","-10,037,142","-7,097,275","-4,550,484","-50,486","-18,295,802","-4,233,102","-13,651,066","-23,170,343","-11,864,232","-1,843,567","-54,736","-35,156"
29,"			NetIncomeContinuousOperations","-9,454,686","4,298,563","-10,037,142","-7,097,275","-4,550,484","-50,486","-18,295,802","-4,233,102","-13,651,066","-23,170,343","-11,864,232","-1,843,567","-54,736","-35,156"
30,"		MinorityInterests",,,,,0,"1,599,526","1,881,282","40,789",,,,,,
31,"	PreferredStockDividends",,,,,,"2,581","16,694","18,373",,,,,,
32,DilutedNIAvailtoComStockholders,"-9,454,686","4,298,563","-10,037,142","-7,097,275","-4,550,484","1,546,459","-16,431,214","-4,210,686","-13,651,066","-23,170,343","-11,864,232","-1,843,567","-54,736","-35,156"
33,BasicEPS,-0.8,0.5,-1.61,-2.05,-3.9,10,-147.5,-71.25,"-5,081.25","-26,420.00","-22,641.66","-4,679.10",-139.277,-89.455
34,DilutedEPS,-0.8,0.5,-1.61,-2.05,-3.9,0.5,-147.5,-71.25,"-5,081.25","-35,625","-27,500","-4,679.10",-139.277,-89.455
35,BasicAverageShares,"11,773,633","8,629,224","6,216,988","3,444,582","1,165,306","164,283","111,820","59,263","2,685",877,524,394,393,393
36,DilutedAverageShares,"11,773,633","8,629,224","6,216,988","3,444,582","1,165,306","2,762,137","111,820","59,263","2,685",877,524,394,393,393
37,TotalOperatingIncomeAsReported,"-5,967,615","-5,227,780","-7,723,653","-6,931,778","-3,528,642","-5,437,235","-8,217,300","-4,830,153","-13,957,397","-20,210,133","-11,092,002","-1,738,925","-51,282","-33,533"
38,TotalExpenses,"6,409,384","5,732,967","6,069,450","7,332,055","4,073,300","6,405,691","9,780,675","5,817,268","15,249,914","22,753,133","12,412,227","4,494,533","51,282","33,533"
39,NetIncomeFromContinuingAndDiscontinuedOperation,"-9,454,686","4,298,563","-10,037,142","-7,097,275","-4,550,484","1,549,040","-16,414,520","-4,192,313","-13,651,066","-23,170,343","-11,864,232","-1,843,567","-54,736","-35,156"
40,NormalizedIncome,"-6,097,348","-2,774,799.74","-7,809,342","-7,179,978","-3,913,541","-5,640,258","-7,465,406","-6,564,156","-14,650,460.50","-20,764,026","-11,734,166","-1,853,026.45","-54,736","-35,156"
41,InterestIncome,,,,,,,,,,,,42,,
42,InterestExpense,"164,177","163,195","198,038","248,200","384,899","1,054,758","1,129,388","1,774,792","1,231,199","553,893","642,164","119,237",,
43,NetInterestIncome,"-164,177","-163,195","-198,038","-248,200","-384,899","-1,054,758","-1,129,388","-1,774,792","-1,231,199","-553,893","-642,164","-119,195",,
44,EBIT,"-9,290,509","4,461,758","-9,839,104","-6,849,075","-4,165,585","1,004,272","-17,166,414","-2,458,310","-13,957,397","-22,616,450","-11,222,068","-1,738,925","-51,282","-33,533"
45,EBITDA,,,,,,,,,,,,,,
46,ReconciledCostOfRevenue,"352,963","400,814","328,335","359,239","217,302","355,995","412,225","501,460","3,558,714","9,964,619","3,456,658","1,410,113",,
47,ReconciledDepreciation,"295,485","293,804","211,158","1,779,820","164,615","1,268,601","1,425,522","604,008","1,222,861","2,201,973","1,733,023","100,616",,
48,NetIncomeFromContinuingOperationNetMinorityInterest,"-9,454,686","4,298,563","-10,037,142","-7,097,275","-4,550,484","1,549,040","-16,414,520","-4,192,313","-13,651,066","-23,170,343","-11,864,232","-1,843,567","-54,736","-35,156"
49,TotalUnusualItemsExcludingGoodwill,"-3,357,338","9,689,538","-2,227,800","82,703","-636,943","7,189,298","-8,949,114","2,371,843","1,537,530","-2,406,317","-130,066","14,553",,
50,TotalUnusualItems,"-3,357,338","9,689,538","-2,227,800","82,703","-636,943","7,189,298","-8,949,114","2,371,843","1,537,530","-2,406,317","-130,066","14,553",,
51,NormalizedEBITDA,"-5,637,686","-4,933,976","-7,400,146","-5,151,958","-3,364,027","-4,916,425","-6,791,778","-4,226,145","-14,272,066","-18,008,160","-9,358,979","-1,652,862","-51,282","-33,533"
52,TaxRateForCalcs,0,0.27,0,0,0,0,0,0,0.35,0,0,0.35,0.35,0.35
53,TaxEffectOfUnusualItems,0,"2,616,175.26",0,0,0,0,0,0,"538,135.50",0,0,"5,093.55",0,0
,,,,,,,,,,,,,,,
1,ROA1,-0.924547568,0.423593638,-1.721127749,-2.743408653,-1.570169809,0.218195146,-3.653437047,-0.91340213,-29.50644012,-5.098181558,-0.770117382,-0.224052209,-3.425067267,-976.5555556
2,ROA2,-0.928106967,0.538007343,-2.384472663,-2.5878323,-0.910331939,0.267254854,-3.614467807,-1.65952508,-5.452278515,-2.322775039,-1.003995382,-0.447235796,-6.834738091,#REF!
3,ROE,-1.537988771,0.546359413,-8.333727997,16.45023978,33.06797471,-0.25668686,1.743798313,0.459720039,0.959083427,2.25696759,-3.115334715,-0.325912602,1.565854217,0.802208835
4,ROC,-1.051465467,0.456776564,-4.186678068,-3.269297296,-2.023335694,0.477846274,-67.17598864,8.83647006,3.049826475,2.667287566,-1.053826063,-0.274767648,1.565854217,0.802208835
5,OperatingMargin,-13.50845125,-10.34820769,-13.08888641,-17.31745266,-6.478637971,-4.858206457,-5.256128568,-4.893201907,-10.79861774,-7.947358632,-8.401599727,-0.631049482,#DIV/0!,#DIV/0!
6,NetMargin,-21.40187745,8.508855137,-23.29900626,-17.73090885,-8.354754727,1.416645937,-10.49941313,-4.24703606,-10.56161428,-9.111420763,-8.986522752,-0.669023678,#DIV/0!,#DIV/0!
7,CurrentRatio,0.384479543,0.042707237,0.959444204,0.601285023,0.071482172,0.024575534,0.025613869,0.022016863,0.004179855,0.09261192,0.580888799,0.154129161,0.313740503,0.000820793
8,QuickRatio,0.384479543,0.042707237,0.959444204,0.601285023,0.071482172,0.024575534,0.025613869,0.022016863,0.004179855,0.09261192,0.580888799,0.154129161,0.313740503,0.000820793
9,D/Eratio,0.462709732,0.196119628,0.990534706,-6.031735657,-17.34329627,-1.537174555,-1.025958655,-0.947974696,-0.685528526,-0.153834173,1.956213388,0.18613892,0,0
10,EPS,-0.723701827,0.448189211,-1.254444234,-1.593612996,-1.701359747,9.173190577,-116.7180056,-40.3794246,-1483.811522,-26359.88965,-22641.66412,-4679.104061,-139.2773537,-89.45547074
