name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012
NetInterestIncome,"-14,732,000","-14,627,000","-14,415,000","-7,562,000","-2,983,000","-3,045,000","-3,254,000","-1,648,000","-257,000","-10,000"
EBIT,"-69,779,000","-82,158,000","-46,495,000","-12,340,000","-21,028,000","-18,931,000","-4,951,000","-29,878,000","-3,622,000","-10,339,000"
EBITDA,"-27,387,000"
ReconciledCostOfRevenue,"92,071,000","109,286,000","190,280,000","126,111,000","93,577,000","67,085,000","73,238,000","58,835,000","38,587,000","21,304,000"
ReconciledDepreciation,"42,392,000","43,919,000","45,367,000","30,891,000","25,844,000","23,808,000","21,151,000","16,181,000","10,186,000","5,904,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"-84,440,000","-96,638,000","-60,788,000","-19,993,000","-24,298,000","-22,178,000","-7,880,000","-28,168,000","-1,997,000","-4,948,000"
TotalUnusualItemsExcludingGoodwill,"-24,765,000","-42,806,000","-43,389,000","-12,931,000","-4,245,000","-5,764,000","-5,648,000","-29,168,000","1,090,000","3,655,000"
TotalUnusualItems,"-24,765,000","-42,806,000","-43,389,000","-12,931,000","-4,245,000","-5,764,000","-5,648,000","-29,168,000","1,090,000","3,655,000"
NormalizedEBITDA,"-2,622,000","4,567,000","42,261,000","31,482,000","9,061,000","10,641,000","21,848,000","15,471,000","5,474,000","-8,090,000"
TaxRateForCalcs,"0.001","0.002","0.002","0.27","0.4","0.4","0.04","0.107","0.35","0.35"
TaxEffectOfUnusualItems,"-20,805.753","-85,612","-86,778","-3,491,370","-1,698,000","-2,305,600","-225,920","-3,120,976","381,500","1,279,250"
