name,ttm,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997
TotalOperatingIncomeAsReported,,,"212,587","-108,684","-104,167","-524,324","-703,744","-390,933","-1,207,125","-2,376,000","-5,182,000","-8,900,000","-1,800,000"
TotalExpenses,"593,446","676,159","625,173","372,551","818,251","955,500","988,494","725,333","1,334,344","2,377,000","12,201,000","13,700,000","3,300,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-2,591,652","-2,299,943","156,050","-165,621","-157,002","-534,709","-721,566","-831,275","-2,405,663","-16,128,000","-9,834,000","-7,900,000","-1,100,000"
NormalizedIncome,"-134,358","133,488","156,050","-165,621","-157,002","-550,786","-706,566","-377,387","-1,122,208","-2,124,000","-4,455,000","-8,500,000","-1,100,000"
InterestIncome,,,,,"8","38","3,845","13,546","84,917","253,000",,,
InterestExpense,"45,465","46,289","56,537","56,937","52,843","26,500","6,667",,,,,,
NetInterestIncome,"-45,465","-46,289",,,,,,,,,,,
EBIT,"-88,894","179,776","212,587","-108,684","-104,167","-524,324","-703,744","-390,933","-1,207,125","-2,376,000","-5,182,000","-8,900,000","-1,800,000"
EBITDA,"76,670"
ReconciledCostOfRevenue,,"0",,,,,,,,"66,000","3,087,000","3,500,000","900,000"
ReconciledDepreciation,"165,564","170,601","262,288","65,033","216,458","1,950","104,551","160,900","153,928","66,000","2,442,000","200,000",
NetIncomeFromContinuingOperationNetMinorityInterest,"-2,591,652","-2,299,943","156,050","-165,621","-157,002","-534,709","-721,566","-831,275","-2,405,663","-3,627,000","-4,455,000","-7,900,000","-1,100,000"
TotalUnusualItemsExcludingGoodwill,"-2,457,294","-2,433,431",,,,"16,077","-15,000","-453,888","-1,283,455","-1,503,000",,"600,000",
TotalUnusualItems,"-2,457,294","-2,433,431",,,,"16,077","-15,000","-453,888","-1,283,455","-1,503,000",,"600,000",
NormalizedEBITDA,"2,533,964","2,783,808","474,875","-43,651","112,291","-538,451","-584,193","223,855","230,258","-807,000","-2,740,000","-9,300,000","-1,800,000"
TaxRateForCalcs,"0","0","0","0","0","0","0","0","0","0","0","0","0.389"
TaxEffectOfUnusualItems,"0","0","0","0","0","0","0","0","0","0","0","0","0"
