name,ttm,03/31/2020,03/31/2019,03/31/2018,03/31/2017,12/31/2015,12/31/2014
DilutedEPS,,"-17.94","-26.95","-116.41","-237.89","-5.319","-3.805"
BasicAverageShares,,"46,477,249","43,543,991","34,301,152","24,807,613","6,493,437","5,817,793"
DilutedAverageShares,,"46,477,249","44,286,393","34,301,152","24,807,613","6,493,437","5,817,793"
TotalOperatingIncomeAsReported,"-1,008,271,000","-625,054,000","-2,578,199,000","-3,360,133,000","-1,863,415,000","-42,067,020.2","-23,971,210.82"
RentExpenseSupplemental,,"55,007,000","193,348,000","178,650,000","148,738,000",,
TotalExpenses,"3,225,480,000","8,086,267,000","11,460,039,000","15,319,289,000","11,213,130,000","42,067,020.2","23,971,210.82"
NetIncomeFromContinuingAndDiscontinuedOperation,"-773,644,000","-833,808,000","-1,148,203,000","-3,993,140,000","-5,901,483,000","-36,212,565.562","-23,488,014.885"
NormalizedIncome,"-1,002,972,400","-976,964,300","-1,919,089,900","-3,431,291,700","-3,083,061,100","-36,212,565.562","-23,488,014.885"
InterestIncome,"74,464,000","54,319,000","41,310,000","91,912,000","139,158,000","5,854,454.637","483,195.935"
InterestExpense,"114,075,000","166,133,000","147,705,000","122,568,000","119,331,000",,
NetInterestIncome,"-66,765,000","-138,968,000","-136,286,000","-52,990,000","3,820,000","5,854,454.637","483,195.935"
EBIT,"-639,387,000","-604,257,000","-998,053,000","-3,872,521,000","-5,776,645,000","-42,067,020.2","-23,971,210.82"
EBITDA,"-44,097,000"
ReconciledCostOfRevenue,"1,416,821,000","4,700,202,000","6,833,017,000","7,833,597,000","6,295,619,000","0","0"
ReconciledDepreciation,"595,290,000","666,369,000","581,746,000","425,600,000","275,587,000",,
NetIncomeFromContinuingOperationNetMinorityInterest,"-773,644,000","-833,808,000","-1,148,203,000","-3,993,140,000","-5,901,483,000","-36,212,565.562","-23,488,014.885"
TotalUnusualItemsExcludingGoodwill,"327,612,000","204,509,000","1,101,267,000","-864,382,000","-4,026,317,000",,
TotalUnusualItems,"327,612,000","204,509,000","1,101,267,000","-864,382,000","-4,026,317,000",,
NormalizedEBITDA,"-371,709,000","-142,397,000","-1,517,574,000","-2,582,539,000","-1,474,741,000","-42,067,020.2","-23,971,210.82"
TaxRateForCalcs,"0.3","0.3","0.3","0.35","0.3","0","0"
TaxEffectOfUnusualItems,"98,283,600","61,352,700","330,380,100","-302,533,700","-1,207,895,100","0","0"
