name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992
		Inventory,"33,085,000","36,357,000","65,579,000","69,167,000","20,191,000","14,716,000","32,251,000","21,248,000","26,889,000","31,306,000","17,215,000","6,941,000","41,999,000","44,416,000","43,947,000","27,907,000","17,738,000","15,206,000","15,323,000","16,272,000","12,186,000","2,000,000","1,300,000","4,800,000","300,000","400,000","400,000","300,000","200,000"
			RawMaterials,"31,683,000","35,023,000","58,857,000","66,368,000","18,388,000",,,,,,,,,,,,,,,,,,,,,,,,
			WorkInProcess,"802,000","1,229,000","6,375,000","529,000","1,803,000",,,,,,,,,,,,,,,,,,,,,,,,
			FinishedGoods,"600,000","105,000","347,000","2,270,000",,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,"36,439,000","65,121,000","37,075,000","32,952,000","52,959,000","142,725,000","26,815,000","32,877,000","35,928,000","35,370,000","48,868,000","26,382,000","15,991,000","16,449,000","15,290,000","8,747,000",,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,"36,439,000","65,121,000","37,075,000","32,952,000","52,959,000","142,725,000","26,815,000","32,877,000","35,928,000","35,370,000","48,868,000","26,382,000","15,991,000","16,449,000","15,290,000","8,747,000",,,,,,,,,
		AssetsHeldForSaleCurrent,,,,,,,,,,"0","23,370,000",,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"55,314,000","75,177,000","76,662,000","53,354,000","41,322,000","40,227,000","51,624,000","53,424,000","43,903,000","48,864,000","50,169,000","84,206,000","57,518,000","52,286,000","56,916,000","25,168,000","26,836,000","6,910,000","6,515,000","5,345,000","14,156,000","5,400,000","14,100,000","3,400,000","7,000,000","2,900,000","2,200,000",,"400,000"
	TotalNonCurrentAssets,"2,821,113,000","3,807,800,000","4,519,669,000","5,012,001,000","3,521,285,000","4,046,781,000","4,484,919,000","3,878,477,000","3,856,920,000","3,456,951,000","2,865,621,000","2,204,884,000","2,071,443,000","1,942,414,000","1,539,833,000","1,157,924,000","935,878,000","767,770,000","699,494,000","670,184,000","242,823,000","177,600,000","183,100,000","126,200,000","52,400,000","27,000,000","15,300,000","7,800,000","6,400,000"
		NetPPE,"2,779,607,000","3,346,018,000","4,014,589,000","4,271,081,000","3,425,013,000","3,943,075,000","4,243,450,000","3,688,101,000","3,659,159,000","3,167,266,000","2,620,900,000","2,110,402,000","1,937,112,000","1,841,404,000","1,435,804,000","1,053,845,000","828,875,000","693,631,000","627,734,000","614,420,000","202,592,000","133,800,000","136,700,000","100,400,000","51,300,000","26,500,000","14,600,000","7,200,000","5,700,000"
			GrossPPE,"8,108,039,000","8,590,760,000","8,815,708,000","8,506,389,000","7,146,046,000","7,305,278,000","7,084,010,000","6,078,210,000","5,665,003,000","4,938,294,000","4,156,139,000","3,390,449,000","3,058,965,000","2,884,685,000","2,259,204,000","1,741,091,000","1,400,848,000","1,161,536,000","1,020,234,000","922,251,000","352,906,000","256,100,000","234,800,000","173,800,000","109,900,000","54,900,000","38,300,000","28,300,000","24,600,000"
				Properties,"0","0","0","0","0","0","0","0","0","131,812,000","110,749,000","93,354,000","89,809,000","0","0","0","0","0","0","0",,,,,,,,,
				LandAndImprovements,"25,781,000","25,747,000","26,144,000","26,593,000","22,270,000","22,370,000","12,038,000","12,054,000","10,413,000","11,467,000","11,074,000","9,795,000","10,196,000","85,723,000","92,650,000","84,690,000","86,660,000","61,309,000","3,779,000","3,703,000",,,,,,,,,
				BuildingsAndImprovements,"193,503,000","184,700,000","186,736,000","185,475,000","97,029,000","96,470,000","83,465,000","80,050,000","66,490,000","64,090,000","61,425,000","56,563,000","61,529,000","50,955,000","30,987,000","22,490,000","13,008,000","11,773,000","11,073,000","10,357,000",,,,,,,,,
				MachineryFurnitureEquipment,"7,647,451,000","8,114,326,000","8,370,933,000","8,066,404,000","6,809,129,000","6,963,148,000","6,679,894,000","5,749,975,000","5,387,490,000","4,730,925,000","3,972,891,000","3,230,737,000","2,897,431,000","2,748,007,000","2,135,567,000","1,633,911,000","1,301,180,000","1,088,454,000","1,005,382,000","908,191,000",,,,,,,,,
				OtherProperties,"239,588,000","257,921,000","219,855,000","211,566,000","201,568,000","200,923,000","196,234,000","183,571,000","156,834,000",,,,,,,,,,,,,,,,,,,,
				ConstructionInProgress,"1,716,000","8,066,000","12,040,000","16,351,000","16,050,000","22,367,000","112,379,000","52,560,000","43,776,000",,,,,,,,,,,,,,,,,,,,
			AccumulatedDepreciation,"-5,328,432,000","-5,244,742,000","-4,801,119,000","-4,235,308,000","-3,721,033,000","-3,362,203,000","-2,840,560,000","-2,390,109,000","-2,005,844,000","-1,771,028,000","-1,535,239,000","-1,280,047,000","-1,121,853,000","-1,043,281,000","-823,400,000","-687,246,000","-571,973,000","-467,905,000","-392,500,000","-307,831,000","-150,314,000","-122,300,000","-98,100,000","-73,400,000","-58,600,000","-28,400,000","-23,700,000","-21,100,000","-18,900,000"
		GoodwillAndOtherIntangibleAssets,"30,087,000","444,004,000","477,640,000","687,072,000","88,966,000","92,609,000","220,813,000","167,470,000","171,463,000","175,573,000","179,683,000","86,234,000","86,234,000","96,198,000","99,056,000","99,056,000","101,326,000","51,179,000","51,313,000","51,634,000","38,641,000","41,800,000","45,900,000","24,600,000",,,,,
			Goodwill,"0","372,560,000","410,756,000","611,473,000","86,234,000","86,234,000","210,795,000","153,809,000","153,809,000","153,809,000","153,809,000","86,234,000","86,234,000","96,198,000","99,056,000",,,,,,,,,,,,,,
			OtherIntangibleAssets,"30,087,000","71,444,000","66,884,000","75,599,000","2,732,000","6,375,000","10,018,000","13,661,000","17,654,000","21,764,000","25,874,000",,,,,"99,056,000","101,326,000","51,179,000","51,313,000","51,634,000","38,641,000","41,800,000","45,900,000","24,600,000",,,,,
		InvestmentsAndAdvances,,,,,,,,,,"99,543,000","51,084,000","914,000",,,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,,,"0","3,875,000",,,,,,,,,,,,,,,,,,,,,,,,,
			NonCurrentDeferredTaxesAssets,,,"0","3,875,000",,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentPrepaidAssets,"1,716,000","8,066,000","12,040,000","16,351,000","16,050,000","22,367,000","112,379,000","52,560,000","43,776,000",,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentAssets,"11,419,000","17,778,000","27,440,000","49,973,000","7,306,000","11,097,000","20,656,000","22,906,000","26,298,000","14,569,000","13,954,000","7,334,000","48,097,000","4,812,000","4,973,000","5,023,000","5,677,000","22,960,000","20,447,000","4,130,000","1,590,000","2,000,000","500,000","1,200,000","1,100,000","500,000","700,000","600,000","700,000"
TotalLiabilitiesNetMinorityInterest,"1,283,010,000","1,605,995,000","1,964,443,000","1,776,363,000","1,555,882,000","1,972,186,000","2,488,201,000","1,931,130,000","1,916,254,000","1,705,270,000","1,235,424,000","580,452,000","585,875,000","569,169,000","630,037,000","428,770,000","315,372,000","255,759,000","204,953,000","182,500,000","107,780,000","83,500,000","79,700,000","56,300,000","44,400,000","23,400,000","17,200,000","8,300,000","9,800,000"
	CurrentLiabilities,"273,722,000","400,602,000","526,316,000","546,250,000","264,815,000","308,132,000","568,404,000","354,277,000","359,863,000","418,712,000","315,965,000","193,308,000","302,613,000","295,208,000","317,618,000","255,409,000","150,076,000","108,447,000","75,152,000","89,286,000","56,878,000","31,700,000","23,000,000","30,500,000","17,900,000","10,500,000","11,200,000","6,300,000","7,500,000"
		PayablesAndAccruedExpenses,"187,317,000","300,337,000","433,013,000","454,683,000","187,474,000","156,207,000","468,924,000","259,173,000","273,230,000","408,712,000","309,715,000","193,308,000","302,613,000","295,208,000","317,618,000","255,409,000","150,076,000","108,447,000","75,152,000","89,286,000","42,499,000","23,700,000","11,200,000","17,000,000","15,100,000","7,900,000","9,000,000","5,400,000","4,900,000"
			Payables,"102,288,000","193,221,000","315,688,000","348,953,000","132,433,000","91,832,000","394,082,000","196,187,000","204,730,000","244,083,000","162,400,000","83,700,000","169,958,000","156,916,000","172,155,000","131,899,000","68,159,000","56,381,000","39,639,000","52,778,000","42,499,000","23,700,000","11,200,000","17,000,000","15,100,000","7,900,000","9,000,000","5,400,000","4,900,000"
				AccountsPayable,"91,622,000","170,475,000","288,962,000","319,621,000","125,667,000","82,771,000","382,438,000","173,150,000","188,823,000","241,610,000","162,400,000","83,700,000","169,958,000","156,916,000","172,155,000","131,899,000","68,159,000","56,381,000","39,639,000","52,778,000","42,499,000","23,700,000","11,200,000","17,000,000","15,100,000","7,900,000","9,000,000","5,400,000","4,900,000"
				TotalTaxPayable,"10,666,000","22,746,000","26,726,000","29,332,000","6,766,000","9,061,000","11,644,000","23,037,000","15,907,000","2,473,000",,,"0",,,,,,,,,,,,,,,,
					IncomeTaxPayable,"0","342,000","1,408,000",,,,"0","10,670,000","6,158,000","2,473,000",,,"0",,,,,,,,,,,,,,,,
			CurrentAccruedExpenses,"85,029,000","107,116,000","117,325,000","105,730,000","55,041,000","64,375,000","74,842,000","62,986,000","68,500,000","164,629,000","147,315,000","109,608,000","132,655,000","138,292,000","145,463,000","123,510,000","81,917,000","52,066,000","35,513,000","36,508,000",,,,,,,,,
				InterestPayable,"11,325,000","12,021,000","15,774,000","7,558,000","6,740,000","7,668,000","7,427,000","7,604,000","7,664,000",,,,,,,,,,,,,,,,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,"79,309,000","90,330,000","93,303,000","91,567,000","77,341,000","88,175,000","86,980,000","85,104,000","78,860,000",,,,,,,,,,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"7,096,000","9,935,000",,,,"63,750,000","12,500,000","10,000,000","6,250,000","10,000,000","6,250,000",,,,,,,,,,"4,477,000",,"8,600,000","1,500,000","100,000","900,000","900,000","400,000","2,100,000"
			CurrentDebt,,,,,,"63,750,000","12,500,000","10,000,000","6,250,000","10,000,000","6,250,000",,,,,,,,,,"4,477,000",,"8,600,000","1,500,000","100,000","900,000","900,000","400,000","2,100,000"
			CurrentCapitalLeaseObligation,"7,096,000","9,935,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,,,,,,,,"0","1,523,000",,,,,,,,,,,,,,,,,,,,
			CurrentDeferredRevenue,,,,,,,,"0","1,523,000",,,,,,,,,,,,,,,,,,,,
		OtherCurrentLiabilities,,,,,,,,,,,,,,,,,,,,,"9,902,000","8,000,000","3,200,000","12,000,000","2,700,000","1,700,000","1,300,000","500,000","500,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"1,009,288,000","1,205,393,000","1,438,127,000","1,230,113,000","1,291,067,000","1,664,054,000","1,919,797,000","1,576,853,000","1,556,391,000","1,286,558,000","919,459,000","387,144,000","283,262,000","273,961,000","312,419,000","173,361,000","165,296,000","147,312,000","129,801,000","93,214,000","50,902,000","51,800,000","56,700,000","25,800,000","26,500,000","12,900,000","6,000,000","2,000,000","2,300,000"
		LongTermDebtAndCapitalLeaseObligation,"920,602,000","993,184,000","1,119,205,000","866,783,000","598,437,000","791,250,000","973,000,000","682,500,000","692,500,000","492,500,000","392,500,000",,,"50,000,000","120,000,000",,,,,,"19,939,000","50,000,000","47,100,000","21,800,000","25,700,000","12,900,000","6,000,000","2,100,000","2,300,000"
			LongTermDebt,"901,484,000","966,540,000","1,119,205,000","866,783,000","598,437,000","791,250,000","973,000,000","682,500,000","692,500,000","492,500,000","392,500,000",,,"50,000,000","120,000,000",,,,,,"19,939,000","50,000,000","47,100,000","21,800,000","25,700,000","12,900,000","6,000,000","2,100,000","2,300,000"
			LongTermCapitalLeaseObligation,"19,118,000","26,644,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredLiabilities,"77,676,000","202,959,000","306,161,000","350,836,000","682,976,000","863,833,000","935,660,000","887,864,000","857,302,000","786,632,000","511,422,000","381,656,000","277,717,000","219,490,000","187,960,000","169,188,000","162,040,000","143,490,000","127,006,000","92,859,000","30,083,000","1,700,000","9,600,000","3,300,000","100,000",,,,
			NonCurrentDeferredTaxesLiabilities,"77,676,000","202,959,000","306,161,000","350,836,000","682,976,000","863,833,000","935,660,000","887,864,000","857,302,000","786,632,000","511,422,000","381,656,000","277,717,000","219,490,000","187,960,000","169,188,000","162,040,000","143,490,000","127,006,000","92,859,000","30,083,000","1,700,000","9,600,000","3,300,000","100,000",,,,
		OtherNonCurrentLiabilities,"11,010,000","9,250,000","12,761,000","12,494,000","9,654,000","8,971,000","11,137,000","6,489,000","6,589,000","7,426,000","15,537,000","5,488,000","5,545,000","4,471,000","4,459,000","4,173,000","3,256,000","3,822,000","2,795,000","355,000","880,000","100,000",,"700,000","700,000",,,"-100,000",
TotalEquityGrossMinorityInterest,"2,016,059,000","2,833,620,000","3,505,423,000","3,982,493,000","2,248,724,000","2,561,131,000","2,905,810,000","2,755,997,000","2,640,657,000","2,516,631,000","2,187,607,000","2,081,700,000","2,126,942,000","1,896,030,000","1,562,466,000","1,367,011,000","1,007,539,000","820,071,000","737,556,000","687,142,000","302,806,000","152,800,000","156,900,000","146,900,000","43,500,000","20,400,000","14,500,000","10,100,000","3,800,000"
	StockholdersEquity,"2,016,059,000","2,833,620,000","3,505,423,000","3,982,493,000","2,248,724,000","2,561,131,000","2,905,810,000","2,755,997,000","2,640,657,000","2,516,631,000","2,187,607,000","2,081,700,000","2,126,942,000","1,896,030,000","1,562,466,000","1,367,011,000","1,007,539,000","820,071,000","737,556,000","687,142,000","302,806,000","152,800,000","156,900,000","146,900,000","43,500,000","20,400,000","14,500,000","10,100,000","3,800,000"
		CapitalStock,"2,710,000","2,694,000","2,673,000","2,662,000","1,915,000","1,904,000","1,893,000","1,865,000","1,841,000","1,833,000","1,815,000","1,808,000","1,801,000","1,773,000","1,766,000","1,759,000","1,716,000","825,000","816,000","784,000","375,000","300,000",,,,,,,
			PreferredStock,"0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,
			CommonStock,"2,710,000","2,694,000","2,673,000","2,662,000","1,915,000","1,904,000","1,893,000","1,865,000","1,841,000","1,833,000","1,815,000","1,808,000","1,801,000","1,773,000","1,766,000","1,759,000","1,716,000","825,000","816,000","784,000","375,000","300,000",,,,,,,
		AdditionalPaidInCapital,"2,902,236,000","2,875,680,000","2,827,154,000","2,785,823,000","1,042,696,000","1,011,811,000","984,674,000","913,505,000","863,558,000","840,731,000","796,641,000","781,635,000","765,512,000","703,581,000","681,069,000","672,151,000","597,280,000","506,018,000","489,201,000","441,475,000","245,462,000","117,600,000",,,,,,,
		RetainedEarnings,"472,014,000","1,294,902,000","1,753,557,000","2,105,897,000","2,116,341,000","2,458,554,000","2,811,815,000","2,707,439,000","2,548,542,000","2,279,367,000","1,987,999,000","1,901,853,000","1,970,824,000","1,716,620,000","1,346,542,000","719,113,000","415,489,000","316,329,000","261,003,000","258,834,000","245,462,000","34,900,000","44,000,000","44,300,000","22,100,000","6,200,000","4,300,000","1,800,000","300,000"
		TreasuryStock,"1,366,313,000","1,345,134,000","1,080,448,000","918,711,000","911,094,000","907,045,000","899,035,000","880,888,000","795,051,000","624,759,000","620,445,000","618,592,000","616,969,000","546,151,000","475,301,000","25,290,000","13,137,000","11,655,000","11,655,000","11,655,000","1,650,000",,,,,,,,
		GainsLossesNotAffectingRetainedEarnings,"5,412,000","5,478,000","2,487,000","6,822,000","-1,134,000","-4,093,000","6,463,000","14,076,000","21,767,000","19,459,000","21,597,000","14,996,000","5,774,000","20,207,000","8,390,000","-722,000","6,191,000","8,554,000","-1,809,000","-2,296,000",,,,,,,,,
		OtherEquityInterest,,,,,,,,,,,,,,,,,,,,,"-186,843,000",,"112,900,000","102,600,000","21,400,000","14,200,000","10,200,000","8,300,000","3,500,000"
TotalCapitalization,"2,917,543,000","3,800,160,000","4,624,628,000","4,849,276,000","2,847,161,000","3,352,381,000","3,878,810,000","3,438,497,000","3,333,157,000","3,009,131,000","2,580,107,000","2,081,700,000","2,126,942,000","1,946,030,000","1,682,466,000","1,367,011,000","1,007,539,000","820,071,000","737,556,000","687,142,000","322,745,000","202,800,000","204,000,000","168,700,000","69,200,000","33,300,000","20,500,000","12,200,000","6,100,000"
CommonStockEquity,"2,016,059,000","2,833,620,000","3,505,423,000","3,982,493,000","2,248,724,000","2,561,131,000","2,905,810,000","2,755,997,000","2,640,657,000","2,516,631,000","2,187,607,000","2,081,700,000","2,126,942,000","1,896,030,000","1,562,466,000","1,367,011,000","1,007,539,000","820,071,000","737,556,000","687,142,000","302,806,000","152,800,000","156,900,000","146,900,000","43,500,000","20,400,000","14,500,000","10,100,000","3,800,000"
CapitalLeaseObligations,"26,214,000","36,579,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
NetTangibleAssets,"1,985,972,000","2,389,616,000","3,027,783,000","3,295,421,000","2,159,758,000","2,468,522,000","2,684,997,000","2,588,527,000","2,469,194,000","2,341,058,000","2,007,924,000","1,995,466,000","2,040,708,000","1,799,832,000","1,463,410,000","1,267,955,000","906,213,000","768,892,000","686,243,000","635,508,000","264,165,000","111,000,000","111,000,000","122,300,000","43,500,000","20,400,000","14,500,000","10,100,000","3,800,000"
WorkingCapital,"204,234,000","231,213,000","423,881,000","200,605,000","18,506,000","178,404,000","340,688,000","454,373,000","340,128,000","346,238,000","241,445,000","263,960,000","338,761,000","227,577,000","335,052,000","382,448,000","236,957,000","199,613,000","167,863,000","110,172,000","110,885,000","27,000,000","30,500,000","46,500,000","17,600,000","6,300,000","5,200,000","4,300,000","-300,000"
InvestedCapital,"2,917,543,000","3,800,160,000","4,624,628,000","4,849,276,000","2,847,161,000","3,416,131,000","3,891,310,000","3,448,497,000","3,339,407,000","3,019,131,000","2,586,357,000","2,081,700,000","2,126,942,000","1,946,030,000","1,682,466,000","1,367,011,000","1,007,539,000","820,071,000","737,556,000","687,142,000","327,222,000","202,800,000","212,600,000","170,200,000","69,300,000","34,200,000","21,400,000","12,600,000","8,200,000"
TangibleBookValue,"1,985,972,000","2,389,616,000","3,027,783,000","3,295,421,000","2,159,758,000","2,468,522,000","2,684,997,000","2,588,527,000","2,469,194,000","2,341,058,000","2,007,924,000","1,995,466,000","2,040,708,000","1,799,832,000","1,463,410,000","1,267,955,000","906,213,000","768,892,000","686,243,000","635,508,000","264,165,000","111,000,000","111,000,000","122,300,000","43,500,000","20,400,000","14,500,000","10,100,000","3,800,000"
TotalDebt,"927,698,000","1,003,119,000","1,119,205,000","866,783,000","598,437,000","855,000,000","985,500,000","692,500,000","698,750,000","502,500,000","398,750,000",,,"50,000,000","120,000,000",,,,,,"24,416,000","50,000,000","55,700,000","23,300,000","25,800,000","13,800,000","6,900,000","2,500,000","4,400,000"
NetDebt,"676,569,000","792,355,000","874,176,000","823,955,000","563,285,000","741,654,000","942,488,000","442,991,000","588,027,000","478,554,000","371,138,000",,,"32,566,000","106,615,000",,,,,,,"41,200,000","46,700,000",,"22,300,000","11,300,000","3,500,000",,"2,300,000"
ShareIssued,"271,028,688","269,372,257","267,315,526","266,259,083","191,525,872","190,374,801","189,262,876","186,487,246","184,059,900","183,295,350","181,537,568","180,828,773","180,195,891","153,942,800","156,542,512","172,441,178","168,512,745","161,953,200","160,140,252","153,912,000","74,354,552","65,352,000","63,342,000","61,934,000","39,552,000","25,560,000","21,080,000","19,080,000","11,616,000"
OrdinarySharesNumber,"187,626,366","192,035,870","213,614,430","222,456,472","148,133,255","147,167,561","146,444,291","144,219,189","145,913,162","155,807,779","154,193,754","153,610,785","153,098,601","153,942,800","156,542,512","172,441,178","168,512,745","161,953,200","160,140,252","153,912,000","74,354,552","65,352,000","63,342,000","61,934,000","39,552,000","25,560,000","21,080,000","19,080,000","11,616,000"
TreasurySharesNumber,"83,402,322","77,336,387","53,701,096","43,802,611","43,392,617","43,207,240","42,818,585","42,268,057","38,146,738","27,487,571","27,343,814","27,217,988","27,097,290",,,,,,,,,,,,,,,,
