name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,06/30/2011,06/30/2010,06/30/2009,06/30/2008,06/30/2007,06/30/2006,06/30/2005,06/30/2004,06/30/2003,06/30/2002,06/30/2001,06/30/2000,06/30/1999,06/30/1998,06/30/1997,06/30/1996,06/30/1995,06/30/1994,06/30/1993,06/30/1992,06/30/1991,06/30/1990,06/30/1989,06/30/1988,
BasicEPS,2.37,2.27,2.17,2.44,1.82,1.48,1.32,-0.29,0.09,-0.07,0.52,-4.17,-0.71,1.08,0.87,0.25,0.61,0.325,0.385,0.16,0.27,0.065,-0.115,0.005,-0.175,0.17,0.81,0.83,0.69,0.57,0.425,0.695,0.575,
DilutedEPS,2.37,2.27,2.17,2.44,1.82,1.48,1.32,-0.29,0.09,-0.07,0.51,-4.17,-0.71,1.05,0.83,0.24,0.59,0.325,0.385,0.16,0.27,0.065,-0.115,0.005,-0.175,0.17,0.81,0.83,0.69,0.57,0.425,0.695,0.575,
BasicAverageShares,"16,937,125","17,012,288","16,866,176","16,746,731","16,643,811","17,123,556","17,305,866","17,069,455","16,951,168","16,726,000","16,655,203","16,585,000","16,538,028","16,387,037","16,086,207","16,016,000","15,521,311","15,858,462","16,257,143","16,625,000","18,111,111","20,000,000","19,130,435","20,000,000","19,428,571","19,411,765","19,629,630","19,518,072","19,565,217","19,473,684","19,764,706","18,848,921","17,565,217",
DilutedAverageShares,"16,937,125","17,012,288","16,866,176","16,746,731","16,643,811","17,123,556","17,305,866","17,069,455","16,951,168","16,726,000","17,082,123","16,585,000","16,774,286","16,855,238","16,861,446","16,683,333","16,047,458","16,113,580","16,297,143","16,625,000","20,000,000","20,000,000","20,000,000","22,500,000","19,428,571","19,629,630","19,629,630","19,518,072","19,565,217","19,473,684","19,764,706","18,848,921","17,565,217",
TotalOperatingIncomeAsReported,"54,241,000","47,242,000","50,148,000","42,909,000","41,975,000","32,850,000","16,619,000","-5,199,000","-944,000","645,000","7,255,000","-79,008,000","-29,650,000","27,160,000","22,370,000","6,630,000","15,288,000","-5,954,000","11,379,000","3,638,000","8,793,000","3,600,000","-2,600,000","1,800,000","-4,600,000","10,600,000","25,500,000","22,100,000","20,100,000","17,000,000","12,800,000","19,000,000","16,400,000",
TotalExpenses,"341,280,000","315,503,000","325,941,000","304,539,000","276,288,000","294,754,000","305,074,000","328,463,000","335,279,000","247,021,000","194,716,000","336,173,000","422,543,000","340,834,000","300,107,000","268,547,000","255,385,000","198,326,000","203,149,000","225,603,000","223,087,000","212,500,000","225,900,000","222,900,000","199,200,000","169,700,000","160,500,000","141,300,000","206,900,000","177,100,000","171,200,000","172,800,000","108,500,000",
NetIncomeFromContinuingAndDiscontinuedOperation,"40,345,000","38,793,000","37,284,000","41,823,000","31,184,000","26,191,000","23,675,000","-4,929,000","1,624,000","-1,313,000","8,738,000","-69,123,000","-11,742,000","17,698,000","13,995,000","4,004,000","9,468,000","5,154,000","6,259,000","2,660,000","4,890,000","1,300,000","-2,200,000","100,000","-3,400,000","3,300,000","15,900,000","16,300,000","13,500,000","11,100,000","8,400,000","13,100,000","10,100,000",
NormalizedIncome,"40,345,000","38,793,000","37,284,000","32,797,867","31,184,000","26,191,000","16,106,230","-5,807,000","-1,765,980","-1,156,350","8,318,750","-53,343,300.36","-10,386,750","15,833,976.02","13,259,472.06","2,960,359.07","2,105,344.41","-14,869,238.59","3,185,642.65","1,385,958.61","4,431,373.42","1,052,380.95","-2,620,000","-500,000","-4,310,714.29","5,820,000","15,775,781.25","13,962,445.42","12,739,436.62","10,781,034.48","8,015,267.18","12,077,560.98","9,591,823.90",
InterestExpense,"1,640,000","1,305,000","1,168,000","1,184,000","1,294,000","534,000","816,000","1,118,000","870,000","358,000","1,757,000","2,901,000","1,490,000","964,000","1,482,000","1,393,000","1,088,000",,"1,237,000","1,347,000",,,,"2,600,000","2,600,000","600,000","100,000","100,000","100,000","100,000","500,000",,"1,400,000",
NetInterestIncome,"-1,640,000","-1,305,000","-1,168,000","-1,184,000","-1,294,000","-534,000","-816,000","-1,118,000","-870,000","-358,000","-1,757,000","-2,901,000","-1,490,000","-964,000","-1,482,000","-1,393,000","-1,088,000",,"-1,237,000","-1,347,000",,,,"-2,600,000","-2,600,000","-600,000","-100,000","-100,000","-100,000","-100,000","-500,000",,"-1,400,000",
EBIT,"54,241,000","47,242,000","50,148,000","53,942,000","46,011,000","38,952,000","26,756,000","-5,403,000","2,812,000","-887,000","5,727,000","-79,010,000","-29,650,000","27,160,000","22,370,000","6,630,000","15,288,000","-5,954,000","11,379,000","3,638,000","8,793,000","3,600,000","-2,600,000","1,800,000","-4,600,000","10,600,000","25,500,000","22,100,000","20,100,000","17,000,000","12,800,000","19,000,000","16,400,000",
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReconciledCostOfRevenue,"296,715,000","286,213,000","292,490,000","271,432,000","252,980,000","269,071,000","284,972,000","302,025,000","309,312,000","225,038,000","171,427,000","310,078,000","388,662,000","321,941,000","277,264,000","249,936,000","245,766,000","202,112,000","193,325,000","212,058,000","197,463,000","187,000,000","200,600,000","199,700,000","176,300,000","150,400,000","141,100,000","124,400,000","185,500,000","158,700,000","154,200,000","156,700,000","93,500,000",
ReconciledDepreciation,"12,961,000","11,572,000","11,362,000","11,308,000","11,253,000","12,382,000","12,325,000","12,009,000","11,568,000","8,843,000","8,631,000","11,946,000","15,172,000","14,467,000","12,655,000","16,008,000","15,197,000","14,354,000","14,308,000","13,627,000","13,515,000","13,600,000","13,900,000","14,000,000","13,900,000","8,700,000","7,200,000","6,200,000","7,200,000","6,500,000","6,700,000","6,100,000","5,400,000",
NetIncomeFromContinuingOperationNetMinorityInterest,"40,345,000","38,793,000","37,284,000","41,823,000","31,184,000","26,191,000","23,675,000","-5,807,000","1,624,000","-1,313,000","8,738,000","-69,123,000","-11,742,000","17,698,000","13,995,000","4,004,000","9,468,000","5,154,000","6,259,000","2,660,000","4,890,000","1,300,000","-2,200,000","100,000","-3,400,000","3,300,000","15,900,000","14,600,000","13,500,000","11,100,000","8,400,000","13,100,000","10,100,000",
TotalUnusualItemsExcludingGoodwill,,0,0,"11,381,000",0,0,"8,290,000",0,"4,055,000","-241,000","645,000","-18,699,000","-2,085,000","2,916,000","1,105,000","1,597,000","12,170,000","33,104,000","5,091,000","2,106,000","758,000","400,000","700,000","1,000,000","1,500,000","-4,200,000","200,000","1,000,000","1,200,000","500,000","600,000","1,600,000","800,000",
TotalUnusualItems,,0,0,"11,381,000",0,0,"8,290,000",0,"4,055,000","-241,000","645,000","-18,699,000","-2,085,000","2,916,000","1,105,000","1,597,000","12,170,000","33,104,000","5,091,000","2,106,000","758,000","400,000","700,000","1,000,000","1,500,000","-4,200,000","200,000","1,000,000","1,200,000","500,000","600,000","1,600,000","800,000",
NormalizedEBITDA,"67,202,000","58,814,000","61,510,000","53,869,000","57,264,000","51,334,000","30,791,000","6,606,000","10,325,000","8,197,000","13,713,000","-48,365,000","-12,393,000","38,711,000","33,920,000","21,041,000","18,315,000","-24,704,000","20,596,000","15,159,000","21,550,000","16,800,000","10,600,000","14,800,000","7,800,000","23,500,000","32,500,000","27,300,000","26,100,000","23,000,000","18,900,000","23,500,000","21,000,000",
TaxRateForCalcs,0.233,0.156,0.239,0.207,0.303,0.318,0.087,0.11,0.164,0.35,0.35,0.156,0.35,0.361,0.334,0.346,0.395,0.395,0.396,0.395,0.395,0.381,0.4,0.4,0.393,0.4,0.379,0.362,0.366,0.362,0.359,0.361,0.365,
TaxEffectOfUnusualItems,0,0,0,"2,355,867",0,0,"721,230",0,"665,020","-84,350","225,750","-2,919,300.36","-729,750","1,051,976.02","369,472.06","553,359.07","4,807,344.41","13,080,761.41","2,017,642.65","831,958.61","299,373.42","152,380.95","280,000","400,000","589,285.71","-1,680,000","75,781.25","362,445.42","439,436.62","181,034.48","215,267.18","577,560.98","291,823.90",
ROA,0.110059333,0.120252203,0.13416723,0.174024666,0.138388895,0.134789769,0.147416858,-0.032571417,0.009952749,-0.00776202,0.065389019,-0.570618391,-0.080905658,0.078333304,0.062393002,0.019571423,0.049963061,0.027556045,0.036152024,0.01600308,0.028030954,0.008345156,-0.013977128,0.000617284,-0.020568663,0.019097222,0.089983022,0.096371208,0.106550908,0.092269327,0.07657247,0.128054741,0.096558317,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TotalAssets,"366,575,000","322,597,000","277,892,000","240,328,000","225,336,000","194,310,000","160,599,000","151,329,000","163,171,000","169,157,000","133,631,000","121,137,000","145,132,000","225,932,000","224,304,000","204,584,000","189,500,000","187,037,000","173,130,000","166,218,000","174,450,000","155,779,000","157,400,000","162,000,000","165,300,000","172,800,000","176,700,000","168,100,000","126,700,000","120,300,000","109,700,000","102,300,000","104,600,000","92,700,000"
"	CurrentAssets","222,283,000","184,206,000","154,623,000","134,742,000","110,901,000","91,180,000","82,245,000","71,886,000","78,091,000","78,058,000","57,361,000","48,633,000","80,787,000","116,080,000","91,289,000","82,538,000","73,646,000","76,424,000","69,625,000","74,981,000","82,168,000","62,921,000","59,400,000","56,000,000","50,200,000","47,200,000","41,400,000","40,100,000","54,400,000","55,100,000","51,300,000","44,000,000","45,900,000","36,600,000"
"		CashCashEquivalentsAndShortTermInvestments","21,662,000","3,309,000","5,025,000","3,084,000","1,569,000","747,000","5,641,000","2,857,000",0,"384,000","8,198,000","7,102,000","1,158,000",,"7,236,000","16,786,000","10,384,000","6,488,000","17,539,000","28,736,000","33,454,000","7,728,000","4,100,000","4,700,000","6,000,000","3,800,000","500,000","3,800,000","20,100,000","12,200,000","9,900,000","9,700,000","9,200,000","3,800,000"
"			CashAndCashEquivalents","21,662,000","3,309,000","5,025,000","3,084,000","1,569,000","747,000","5,641,000","2,857,000",0,"384,000","8,198,000","7,102,000","1,158,000",,"7,236,000","16,786,000","10,384,000","6,488,000","17,539,000","28,736,000","33,454,000","7,728,000","4,100,000","4,700,000","6,000,000","3,800,000","500,000","3,800,000","20,100,000","12,200,000","9,900,000","9,700,000","9,200,000","3,800,000"
"				CashFinancial","21,662,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"			OtherShortTermInvestments",,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
"		Receivables","56,966,000","41,918,000","39,509,000","36,327,000","28,790,000","30,670,000","33,060,000","28,287,000","35,567,000","28,370,000","28,369,000","18,252,000","24,448,000","42,657,000","34,662,000","32,197,000","28,097,000","34,243,000","20,466,000","24,071,000","26,109,000","30,272,000","26,700,000","26,400,000","26,300,000","18,400,000","22,400,000","21,600,000","22,300,000","28,100,000","25,800,000","21,400,000","23,100,000","20,100,000"
"			AccountsReceivable","56,966,000","40,931,000","38,797,000","34,347,000","26,085,000","30,670,000","32,672,000","27,821,000","35,325,000","27,804,000","27,844,000","17,674,000","18,403,000","34,087,000","34,298,000","32,197,000","28,097,000","34,243,000","20,466,000","24,071,000","26,109,000",,,,,,,,,,,,,
"				GrossAccountsReceivable","56,990,000",,"38,821,000","34,371,000","26,109,000","30,694,000","32,684,000","27,839,000","35,337,000","27,867,000","27,962,000",,,,,,,,,,,,,,,,,,,,,,,
"				AllowanceForDoubtfulAccountsReceivable","-24,000",,"-24,000","-24,000","-24,000","-24,000","-12,000","-18,000","-12,000","-63,000","-118,000",,,,,,,,,,,,,,,,,,,,,,,
"			TaxesReceivable",0,"987,000","712,000","1,980,000","2,705,000",,"388,000","466,000","242,000","566,000","525,000","578,000","6,045,000",,,,,,,,,,,,,,,,,,,,,
"			OtherReceivables",,,,"34,347,000","26,085,000",,"32,684,000","27,839,000",0,,0,"17,674,000","18,403,000","8,570,000","364,000",0,0,0,,0,0,,,,,,,,,,,,,
"			ReceivablesAdjustmentsAllowances",,,,"-24,000","-24,000","-24,000","-12,000","-18,000",,,,,,,,,,,,,,,,,,,,,,,,,,
"		Inventory","141,011,000","136,931,000","108,769,000","93,149,000","78,858,000","58,701,000","34,441,000","34,917,000","36,532,000","31,082,000","14,825,000","14,524,000","20,400,000","63,620,000","42,595,000","30,467,000","31,252,000","32,775,000","26,956,000","20,755,000","18,230,000","19,246,000","24,500,000","20,400,000","15,000,000","19,900,000","14,700,000","13,200,000","10,900,000","13,500,000","14,400,000","11,800,000","12,500,000","11,700,000"
"			RawMaterials","15,588,000","13,120,000","12,447,000","11,210,000","10,505,000","12,046,000","10,353,000","9,949,000","10,075,000","8,820,000","5,368,000","4,687,000","7,047,000","16,211,000",,,,,,,,,,,,,,,,,,,,
"			WorkInProcess","1,805,000","1,766,000","1,550,000","1,935,000","1,933,000","2,364,000","2,023,000","2,737,000","2,571,000","3,529,000","1,626,000","535,000",,,,,,,,,,,,,,,,,,,,,,
"			FinishedGoods","16,414,000","16,654,000","17,296,000","13,284,000","14,002,000","15,126,000","10,039,000","11,355,000","14,272,000","15,728,000","8,407,000","7,528,000","9,977,000","33,185,000",,,,,,,,,,,,,,,,,,,,
"			OtherInventories","107,204,000","105,391,000","77,476,000","66,720,000","52,418,000","29,165,000","12,026,000","10,876,000","9,614,000","3,005,000","-576,000","1,774,000","3,376,000","14,224,000",,,,,,,,,,,,,,,,,,,,
"		PrepaidAssets","2,644,000","2,048,000","1,320,000","2,182,000","1,684,000","1,062,000","1,179,000","848,000","697,000","957,000","1,201,000","1,517,000","980,000","362,000","1,037,000","1,098,000","628,000","828,000","1,578,000","550,000","1,625,000",,,,,,,,,,,,,
"		RestrictedCash",,,,,,,,0,"12,000","7,605,000","1,028,000","971,000","203,000","3,000",,,,,,,,,,,,,,,,,,,,
"		CurrentDeferredAssets",,,,,,,"7,924,000","4,977,000","5,283,000","6,056,000","3,740,000","6,267,000","1,218,000","3,258,000","5,759,000","1,990,000","663,000","2,090,000",,"284,000","2,451,000",,,,,,,,,,,,,
"			CurrentDeferredTaxesAssets",,,,,,,"7,924,000","4,977,000","5,283,000","6,056,000","3,740,000","6,267,000","1,218,000","3,258,000","5,759,000","1,990,000","663,000","2,090,000",,"284,000","2,451,000",,,,,,,,,,,,,
"		AssetsHeldForSaleCurrent",,,,,,,,,0,"2,300,000",,,,,,,,,,,,,,,,,,,,,,,,
"		HedgingAssetsCurrent",,,,,,,,,0,"1,304,000",,,,,,,,,,,,,,,,,,,,,,,,
"		OtherCurrentAssets",,,,0,0,0,0,"848,000","697,000",,0,0,"32,380,000","6,180,000",0,0,"2,622,000",0,"3,086,000","585,000","299,000","5,675,000","4,100,000","4,500,000","2,900,000","5,100,000","3,800,000","1,500,000","1,100,000","1,300,000","1,200,000","1,100,000","1,100,000","1,000,000"
"	TotalNonCurrentAssets","144,292,000","138,391,000","123,269,000","105,586,000","114,435,000","103,130,000","78,354,000","79,443,000","85,080,000","91,099,000","76,270,000","72,504,000","64,345,000","109,852,000","133,015,000","122,046,000","115,854,000","110,613,000","103,505,000","91,237,000","92,282,000","92,858,000","98,000,000","106,000,000","115,100,000","125,600,000","135,300,000","128,000,000","72,300,000","65,200,000","58,400,000","58,300,000","58,700,000","56,100,000"
"		NetPPE","137,143,000","134,909,000","120,788,000","103,051,000","92,791,000","83,554,000","63,881,000","70,244,000","75,391,000","77,079,000","63,250,000","57,363,000","63,309,000","108,974,000","132,212,000","121,835,000","115,629,000","109,097,000","91,804,000","91,015,000","92,124,000","92,771,000","97,900,000","105,600,000","114,700,000","125,100,000","134,900,000","112,600,000","70,100,000","64,600,000","57,500,000","57,300,000","56,400,000","51,900,000"
"			GrossPPE","318,881,000","320,448,000","295,893,000","267,288,000","246,219,000","229,914,000","198,176,000","194,687,000","190,519,000","185,385,000","165,365,000","164,559,000","163,345,000","315,782,000","360,472,000","336,428,000","317,626,000","296,377,000","263,990,000","258,501,000","245,305,000","232,508,000","224,400,000","218,600,000","213,800,000","210,300,000","206,300,000","182,500,000","135,800,000","127,300,000","115,900,000","109,600,000","102,700,000","92,800,000"
"				Properties","114,374,000","105,257,000","90,992,000","72,223,000","67,487,000","56,143,000","43,443,000","40,681,000","39,509,000",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
"				LandAndImprovements",,,"90,992,000","72,223,000","67,487,000","56,143,000","43,443,000","40,681,000","39,509,000","40,073,000","29,962,000","31,397,000","35,563,000","49,109,000","49,503,000","42,394,000","28,389,000","25,735,000","25,459,000","22,422,000","20,553,000",,,,,,,,,,,,,
"				MachineryFurnitureEquipment","182,654,000","194,247,000","188,087,000","178,657,000","168,124,000","158,159,000","151,935,000","149,203,000","146,466,000","143,282,000","119,420,000","130,196,000","127,035,000","263,423,000","293,156,000","284,815,000","270,908,000","251,140,000","230,271,000","224,658,000","220,977,000",,,,,,,,,,,,,
"				OtherProperties","5,151,000","6,490,000",,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,"8,260,000",0,0,,,,,,,,,,,,,
"				ConstructionInProgress","16,702,000","14,454,000","16,814,000","16,408,000","10,608,000","15,612,000","2,798,000","4,803,000","4,544,000","2,030,000","15,983,000","2,966,000","747,000","3,250,000","17,813,000","9,219,000","18,329,000","19,502,000",,"11,421,000","3,775,000",,,,,,,,,,,,,
