name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012
BasicEPS,,-0.47,-4.53,-3.58,-7.28,-8.8,-14.6,-11.2,-8.065,-7.561
DilutedEPS,,-0.47,-4.53,-3.58,-7.28,-8.8,-14.6,-11.2,-8.065,-7.561
BasicAverageShares,,"9,959,018","6,363,112","3,766,419","2,156,201","2,218,340","1,427,955","1,636,018","1,636,018","1,636,018"
DilutedAverageShares,,"9,959,018","6,363,112","3,766,419","2,156,201","2,218,340","1,427,955","1,636,018","1,636,018","1,636,018"
TotalOperatingIncomeAsReported,"-12,778,000","-12,778,000","-19,381,000","-16,870,000","-14,315,000","-18,620,000","-15,563,000","-15,153,000","-10,566,000","-10,130,000"
TotalExpenses,"29,626,000","29,626,000","21,550,000","18,334,000","18,341,000","21,808,000","20,977,000","22,135,000","17,044,000","17,140,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-4,655,000","-4,655,000","-28,805,000","-13,480,000","-15,707,000","-19,624,000","-17,956,000","-18,339,000","-13,195,000","-12,370,000"
NormalizedIncome,"-19,746,704","-19,746,704","-22,057,610","-20,459,530","-15,167,000","-19,624,000","-18,130,600","-17,950,950","-13,195,000","-12,370,000"
InterestExpense,"47,000","47,000","5,000",0,"747,000","1,319,000","2,658,000","1,394,000","626,000","186,000"
NetInterestIncome,"-47,000","-47,000","-713,000","-2,555,000","-747,000","-1,319,000","-2,658,000","-1,394,000","-626,000","-186,000"
EBIT,"-6,103,000","-6,103,000","-28,866,000","-13,470,000","-14,934,000","-18,280,000","-15,272,000","-15,750,000","-10,561,000","-10,122,000"
EBITDA,"-5,441,000",,,,,,,,,
ReconciledCostOfRevenue,"5,199,000","5,199,000","885,000","661,000","283,000","895,000","892,000","1,997,000","673,000","909,000"
ReconciledDepreciation,"662,000","662,000","194,000","154,000","279,000","304,000","294,000","358,000","391,000","378,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"-4,655,000","-4,655,000","-28,805,000","-13,480,000","-15,707,000","-19,624,000","-17,956,000","-18,339,000","-13,195,000","-12,370,000"
TotalUnusualItemsExcludingGoodwill,"15,384,000","15,384,000","-9,243,000","9,561,000","-900,000",0,"291,000","-597,000","5,000",
TotalUnusualItems,"15,384,000","15,384,000","-9,243,000","9,561,000","-900,000",0,"291,000","-597,000","5,000",
NormalizedEBITDA,"-20,825,000","-20,825,000","-19,429,000","-22,877,000","-13,755,000","-17,976,000","-15,269,000","-14,795,000","-10,170,000","-9,744,000"
TaxRateForCalcs,0.019,0.019,0.27,0.27,0.4,0.4,0.4,0.35,0.35,0.35
TaxEffectOfUnusualItems,"292,296","292,296","-2,495,610","2,581,470","-360,000",0,"116,400","-208,950",0,0
,,,,,,,,,,
ROA,,-0.579412497,-3.585387105,-11.53122327,-10.72882514,-4.87431694,-5.632371393,-3.387329147,-1.889859639,-1.909539981
