name,ttm,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
InterestIncome,,,"3,000","6,000","1,427,000","162,000","775,000","596,000","1,776,000","2,547,000","1,771,000","1,634,000","2,036,000","5,199,000","10,942,000","888,085","1,378,171.246",,"440,000","134,000"
InterestExpense,"5,796,000","5,796,000","4,680,000","22,787,000","9,006,000","14,251,000","18,634,000","19,743,000","11,326,000","4,029,000","1,469,000","8,539,000","16,784,000","36,939,000","21,697,000","1,832,684.5",,,"417,000","172,000"
NetInterestIncome,"-5,796,000","-5,796,000","-4,677,000","-22,781,000","-7,579,000","-14,089,000","-17,859,000","-19,147,000","-9,550,000","-1,482,000","302,000","-6,905,000","-14,748,000","-31,740,000","-10,755,000","-944,599.5","1,378,171.246",,"23,000","-38,000"
EBIT,"-96,621,000","-96,621,000","-60,463,000","-130,003,000","-67,133,000","-61,146,000","2,115,000","-28,780,000","25,100,000","3,106,000","2,418,000","84,209,000","6,591,000","-8,618,000","-127,968,000","17,454,907","-6,905,483.723","-4,428.81","31,051,000","4,576,000"
EBITDA,"-86,009,000"
ReconciledCostOfRevenue,"49,000,000","49,000,000","105,270,000","7,047,000","0","259,253,000","264,039,000","301,148,000","315,082,000","387,783,000","371,591,000","353,587,000","392,842,000","404,795,000","462,852,000","129,216,367.5",,,"46,006,000","50,341,000"
ReconciledDepreciation,"10,612,000","10,612,000","13,796,000","16,452,000","27,687,000","31,222,000","30,547,000","28,524,000","28,164,000","19,541,000","23,307,000","21,712,000","21,266,000","22,298,000","22,032,000","6,757,519.5",,,,
NetIncomeFromContinuingOperationNetMinorityInterest,"-85,261,000","-85,261,000","-62,120,000","-153,663,000","-45,552,000","-65,578,000","-13,808,000","-9,527,000","7,494,000","-1,434,000","-23,079,000","49,053,000","-40,817,000","-43,286,000","-163,200,000","16,421,499","-5,527,312.477","-4,428.81","26,561,000","8,115,000"
TotalUnusualItemsExcludingGoodwill,"-34,085,000","-34,085,000","-4,130,000","-94,490,000","5,028,000","0","0","-4,121,000","0","0","-13,582,000","11,710,000","-45,810,000","20,857,000","13,913,000","2,607,740.5",,,,"6,584,000"
TotalUnusualItems,"-34,085,000","-34,085,000","-4,130,000","-94,490,000","5,028,000","0","0","-4,121,000","0","0","-13,582,000","11,710,000","-45,810,000","20,857,000","13,913,000","2,607,740.5",,,,"6,584,000"
NormalizedEBITDA,"-51,924,000","-51,924,000","-42,537,000","-19,061,000","-39,446,000","-29,924,000","32,662,000","3,865,000","53,264,000","22,647,000","39,307,000","94,211,000","73,667,000","-7,177,000","-119,849,000","21,604,686","-6,905,483.723","-4,428.81","31,051,000","-2,008,000"
TaxRateForCalcs,"0","0","0.25","0","0","0.25","0.25","0.25","0.324","0.25","0.25","0.123","0.25","0.088","0","0.079","0.4","0.4","0.049","0.291"
TaxEffectOfUnusualItems,"0","0","-1,032,500","0","0","0","0","-1,030,250","0","0","-3,395,500","1,442,123.563","-11,452,500","1,828,999.166","4,555.086","207,095.777","0","0","0","1,913,278.907"
