name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006
"	SpecialIncomeCharges","-5,825,000",0,0,"-2,096,000","-5,795,000","-323,796,000","-1,827,000","-3,548,000","325,000","-227,000","-301,000","-205,000","-3,316,000","5,545,342","7,015,671"
"		RestructuringAndMergernAcquisition",,0,0,"266,000","2,723,000",,"1,827,000",,,,,,,,
"		ImpairmentOfCapitalAssets",,,,0,0,"323,796,000",,,,,,,,,
"		OtherSpecialCharges","10,075,000",,,"-3,186,000","3,072,000","760,000","-5,526,000",,,,,,,,
"		GainOnSaleOfPPE","4,250,000",,,"-1,830,000",,,,,,,,,,,
"	OtherNonOperatingIncomeExpenses","384,000","355,000","142,000","397,000","1,122,000","575,000","1,077,000","-1,742,000","588,000",,,,,,
PretaxIncome,"-27,149,000","13,684,000","11,891,000","-25,693,000","-67,995,000","-374,803,000","10,811,000","38,093,000","136,927,000","175,261,000","75,043,000","92,247,000","157,765,000",,
TaxProvision,"5,000","53,000","108,000","-2,783,000","-1,362,000","149,973,000","1,050,000","15,818,000","49,484,000","65,850,000","29,758,000","36,905,000","59,592,000",,
NetIncomeCommonStockholders,"-27,154,000","13,631,000","11,783,000","-22,910,000","-66,633,000","-524,776,000","9,761,000","22,275,000","87,443,000","109,411,000","45,285,000","55,342,000","98,173,000","29,683,904","36,022,442"
"	NetIncome","-27,154,000","13,631,000","11,783,000","-22,910,000","-66,633,000","-524,776,000","9,761,000","22,275,000","87,443,000","109,411,000","45,285,000","55,342,000","98,173,000","29,683,904","36,022,442"
"		NetIncomeIncludingNoncontrollingInterests","-27,154,000","13,631,000","11,783,000","-22,910,000","-66,633,000","-524,776,000","9,761,000","22,275,000","87,443,000","109,411,000","45,285,000","55,342,000","98,173,000","29,683,904","36,022,442"
"			NetIncomeContinuousOperations","-27,154,000","13,631,000","11,783,000","-22,910,000","-66,633,000","-524,776,000","9,761,000","22,275,000","87,443,000","109,411,000","45,285,000","55,342,000","98,173,000","29,683,904","24,097,836"
"			NetIncomeDiscontinuousOperations",,,,,,,,,,,,,,,"11,924,606"
DilutedNIAvailtoComStockholders,"-27,154,000","13,631,000","11,783,000","-22,910,000","-66,633,000","-524,776,000","9,761,000","22,275,000","87,443,000","109,411,000","45,285,000","55,342,000","98,173,000","29,683,904","36,022,442"
BasicEPS,-2.09,1.1,0.9,-2,-8.8,-69.4,1.3,3,11.6,14.6,6,7.4,13.1,3.9,360.224
DilutedEPS,-2.09,1,0.9,-2,-8.8,-69.4,1.3,3,11.6,14.5,6,7.4,13.1,3.9,360.224
BasicAverageShares,"12,993,225","12,904,916","12,807,070","11,570,885","7,581,873","7,566,948","7,550,467","7,537,865","7,527,660","7,518,071","7,508,443","7,501,456","7,484,313","7,484,535","100,000"
DilutedAverageShares,"12,993,225","13,105,092","13,098,591","11,570,885","7,581,873","7,566,948","7,563,032","7,540,672","7,533,698","7,528,105","7,515,425","7,504,205","7,498,829","7,484,535","100,000"
TotalOperatingIncomeAsReported,"-23,244,000","16,360,000","15,494,000","-14,404,000","-57,781,000","-369,790,000","15,780,000","40,842,000","135,401,000","173,877,000","75,334,000","92,417,000","161,078,000","36,310,955","19,989,007"
TotalExpenses,"214,338,000","203,715,000","192,776,000","169,915,000","262,934,000","333,177,000","392,782,000","295,470,000","315,915,000","268,327,000","283,266,000","208,706,000","144,326,000","180,159,984","132,720,210"
InterestIncome,,,"110,000","6,000","286,000","763,000","186,000","524,000","1,843,000","1,730,000","819,000","161,000","1,005,000",,
InterestExpense,"1,996,000","2,728,000","2,721,000","6,913,000","8,703,000","6,351,000","6,232,000","1,531,000","905,000","869,000","1,513,000","806,000","3,160,000","9,349,757","2,906,842"
NetInterestIncome,"-4,289,000","-3,031,000","-3,745,000","-11,686,000","-11,336,000","-5,588,000","-6,046,000","-1,007,000","938,000","861,000","-694,000","-645,000","-2,155,000","-9,349,757","-2,906,842"
NetIncomeFromContinuingAndDiscontinuedOperation,"-27,154,000","13,631,000","11,783,000","-22,910,000","-66,633,000","-524,776,000","9,761,000","22,275,000","87,443,000","109,411,000","45,285,000","55,342,000","98,173,000","29,683,904","36,022,442"
NormalizedIncome,"-22,901,750","13,631,000","11,783,000","-21,040,368","-60,953,900","-330,498,400","11,410,781","22,275,000","87,443,000","109,552,710.35","45,466,639.66","55,465,000","100,236,459.37","26,079,431.70","19,888,433.40"
EBIT,"-25,153,000","16,412,000","14,612,000","-18,780,000","-59,292,000","-368,452,000","17,043,000","39,624,000","137,832,000","176,130,000","76,556,000","93,053,000","161,588,000","33,298,775","19,989,007"
EBITDA,,,,,,,,,,,,,,,
ReconciledCostOfRevenue,"186,424,000","176,597,000","169,999,000","151,828,000","240,195,000","302,660,000","368,385,000","258,397,000","281,178,000","256,734,000","253,233,000","179,688,000","120,356,000","160,960,398","110,994,751"
ReconciledDepreciation,"36,110,000","34,335,000","32,215,000","34,767,000","42,681,000","87,676,000","80,560,000","61,303,000","47,599,000","35,787,000","27,715,000","17,327,000","7,192,000","9,468,266","8,027,549"
NetIncomeFromContinuingOperationNetMinorityInterest,"-27,154,000","13,631,000","11,783,000","-22,910,000","-66,633,000","-524,776,000","9,761,000","22,275,000","87,443,000","109,411,000","45,285,000","55,342,000","98,173,000","29,683,904","24,097,836"
TotalUnusualItemsExcludingGoodwill,"-5,825,000",0,0,"-2,096,000","-5,795,000","-323,796,000","-1,827,000","-3,548,000","325,000","-227,000","-301,000","-205,000","-3,316,000","5,545,342","7,015,671"
TotalUnusualItems,"-5,825,000",0,0,"-2,096,000","-5,795,000","-323,796,000","-1,827,000","-3,548,000","325,000","-227,000","-301,000","-205,000","-3,316,000","5,545,342","7,015,671"
NormalizedEBITDA,"16,782,000","50,747,000","46,827,000","18,083,000","-10,816,000","43,020,000","99,430,000","100,927,000","185,431,000","212,144,000","104,572,000","110,585,000","172,096,000","37,221,699","21,000,885"
TaxRateForCalcs,0.27,0.004,0.009,0.108,0.02,0.4,0.097,0.35,0.361,0.376,0.397,0.4,0.378,0.35,0.4
TaxEffectOfUnusualItems,"-1,572,750",0,0,"-226,368","-115,900","-129,518,400","-177,219",0,0,"-85,289.65","-119,360.34","-82,000","-1,252,540.63","1,940,869.70","2,806,268.40"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
TotalAssets,"550,188,000","578,439,000","525,231,000","511,054,000","540,901,000","640,484,000","1,166,719,000","1,175,273,000","994,623,000","932,870,000","828,884,000","768,990,000","705,077,000","146,727,060","129,314,306"
"	CurrentAssets","135,788,000","145,343,000","145,358,000","111,946,000","123,743,000","195,799,000","202,487,000","178,629,000","162,356,000","276,645,000","208,822,000","204,339,000","198,376,000","47,447,489","50,853,372"
"		CashCashEquivalentsAndShortTermInvestments","19,515,000","20,603,000","33,222,000","1,068,000","4,464,000","59,830,000","78,023,000","15,608,000","57,747,000","170,614,000","121,690,000","100,947,000","116,573,000","1,960,406","285,947"
"			CashAndCashEquivalents","19,515,000","20,603,000","33,222,000","1,068,000","4,464,000","9,307,000","67,589,000","394,000","33,619,000","73,372,000","76,133,000","89,792,000","116,573,000","1,960,406","285,947"
"				CashFinancial",,,,,"4,464,000","9,056,000","16,506,000","18,000","6,063,000",,,,,,
"				CashEquivalents",,,,,0,"251,000","51,083,000","376,000","27,556,000",,,,,,
"			OtherShortTermInvestments",,,,,0,"50,523,000","10,434,000","15,214,000","24,128,000","97,242,000","45,557,000","11,155,000",,,
"		Receivables","24,372,000","24,996,000","25,758,000","24,490,000","20,028,000","24,625,000","32,275,000","44,016,000","43,936,000","40,695,000","31,471,000","29,004,000","25,459,000","23,763,454","28,267,563"
"			AccountsReceivable","22,516,000","23,749,000","25,161,000","15,076,000","10,343,000","9,743,000","28,561,000","20,837,000","31,508,000","29,304,000","24,928,000","19,640,000","15,107,000","23,251,154","28,267,563"
"			TaxesReceivable",,,0,"2,663,000","1,379,000",,"114,000","15,722,000","3,306,000","4,493,000","6,543,000","9,364,000",,,
"			OtherReceivables","1,856,000","1,247,000","597,000","6,751,000","8,306,000","14,882,000","3,600,000","7,457,000","9,122,000","6,898,000",,,"10,352,000","512,300",
"		Inventory","88,673,000","94,220,000","82,046,000","83,126,000","94,355,000","106,531,000","84,094,000","105,011,000","53,275,000","55,390,000","48,094,000","61,949,000","49,318,000","18,501,012","20,994,887"
"			RawMaterials","10,879,000","13,044,000","9,351,000","8,727,000","19,658,000","21,562,000","20,373,000","20,605,000","17,309,000","14,517,000","12,536,000","8,232,000",,"2,806,086",
"			WorkInProcess","28,833,000","25,591,000","24,325,000","19,822,000","22,126,000","19,769,000","19,584,000","17,841,000","9,110,000","7,789,000","11,160,000","6,801,000","5,619,000",,
"			FinishedGoods","48,961,000","55,585,000","48,370,000","54,577,000","52,571,000","65,200,000","44,137,000","66,565,000","26,856,000","33,084,000","24,398,000","46,916,000","34,337,000","8,613,729",
"			OtherInventories",,,,0,0,0,0,0,0,,0,0,"9,362,000","7,081,197",
"		PrepaidAssets",,,,"3,051,000","4,063,000","4,358,000","4,739,000","5,653,000","5,393,000","5,015,000","4,016,000","2,632,000","5,804,000","3,222,617","1,304,975"
"		CurrentDeferredAssets",,,,,,,"3,356,000","8,341,000","2,005,000","4,931,000","3,551,000","9,807,000","1,222,000",,
"			CurrentDeferredTaxesAssets",,,,,,,"3,356,000","8,341,000","2,005,000","4,931,000","3,551,000","9,807,000","1,222,000",,
"		OtherCurrentAssets","3,228,000","5,524,000","4,332,000","211,000","833,000","455,000",,,,,,,,,
"	TotalNonCurrentAssets","414,400,000","433,096,000","379,873,000","399,108,000","417,158,000","444,685,000","964,232,000","996,644,000","832,267,000","656,225,000","620,062,000","564,651,000","506,701,000","99,279,571","78,460,934"
"		NetPPE","355,497,000","378,509,000","346,209,000","364,542,000","388,490,000","419,476,000","785,250,000","826,569,000","637,265,000","420,905,000","320,292,000","255,332,000","169,034,000","86,773,601","42,370,980"
"			GrossPPE","612,468,000","602,863,000","544,574,000","533,200,000","526,658,000","517,437,000","1,074,088,000","1,036,842,000","790,462,000","529,332,000","395,338,000","297,119,000","201,915,000","105,501,781","42,370,980"
"				MineralProperties",,"143,988,000","139,418,000","138,841,000","138,578,000","139,751,000","163,197,000","150,072,000","105,156,000",,,,,,
"				LandAndImprovements","95,106,000","93,266,000","59,480,000","56,713,000","58,193,000","56,670,000","74,842,000","74,664,000","16,133,000","10,282,000","7,065,000","5,423,000","34,716,000","26,503,519",
"				BuildingsAndImprovements","81,692,000","81,468,000","81,429,000","79,757,000","82,457,000","81,208,000","268,032,000","248,017,000","148,989,000","100,123,000","55,462,000","46,547,000","21,480,000","19,077,011",
"				MachineryFurnitureEquipment","280,123,000","268,894,000","261,425,000","252,333,000","245,242,000","226,668,000","562,417,000","504,551,000","361,762,000","298,403,000","212,010,000","140,238,000","69,788,000","47,100,558",
"				OtherProperties","153,837,000","8,123,000","58,961,000","56,194,000","57,474,000","55,951,000","73,933,000","74,166,000","15,835,000","42,864,000","42,288,000","36,995,000","2,379,000","1,430,359",
"				ConstructionInProgress","1,710,000","7,124,000","2,822,000","5,556,000","2,188,000","13,140,000","5,600,000","59,538,000","158,422,000","77,660,000","78,513,000","62,736,000","73,552,000","11,390,334",
"				Leases",,,,,,,,,,,,"5,180,000",,,
"			AccumulatedDepreciation","-256,971,000","-224,354,000","-198,365,000","-168,658,000","-138,168,000","-97,961,000","-288,838,000","-210,273,000","-153,197,000","-108,427,000","-75,046,000","-41,787,000","-32,881,000","-18,728,180",
"		GoodwillAndOtherIntangibleAssets","19,184,000","19,184,000",,,,,,,,,,,"2,565,000",,
"			OtherIntangibleAssets","19,184,000","19,184,000",,,,,,,,,,,"2,565,000",,
"		InvestmentsAndAdvances",,,,,0,"3,799,000","11,856,000","9,505,000",0,"6,180,000","21,298,000","6,189,000",,,
"			LongTermEquityInvestment",,,,,,,,,0,,,,,,
"			InvestmentinFinancialAssets",,,,,0,"3,799,000","11,856,000","9,505,000",0,,,,,,
"		NonCurrentDeferredAssets",,,,,,,"146,725,000","143,849,000","180,548,000","215,632,000","266,040,000","290,449,000","327,641,000",,
"			NonCurrentDeferredTaxesAssets",,,,,,,"146,725,000","143,849,000","180,548,000","215,632,000","266,040,000","290,449,000","327,641,000",,
"		OtherNonCurrentAssets","39,719,000","35,403,000","33,664,000","34,566,000","28,668,000","21,410,000","20,401,000","16,721,000","14,454,000","13,508,000","12,432,000","12,681,000","7,461,000","12,505,970","36,089,954"
TotalLiabilitiesNetMinorityInterest,"138,929,000","143,783,000","107,968,000","108,501,000","177,530,000","213,958,000","219,434,000","241,302,000","88,887,000","61,737,000","71,043,000","59,768,000","53,478,000","136,329,705","160,772,304"
"	CurrentLiabilities","67,217,000","87,445,000","34,781,000","37,486,000","24,120,000","39,139,000","46,635,000","68,628,000","67,388,000","49,675,000","45,405,000","35,932,000","38,939,000","30,315,337","24,112,000"
"		PayablesAndAccruedExpenses","19,979,000","23,782,000","18,766,000","18,692,000","18,931,000","27,473,000","32,491,000","57,447,000","52,130,000","35,829,000","43,827,000","33,083,000","36,961,000","24,528,964","17,487,291"
"			Payables","7,278,000","10,042,000","10,049,000","11,985,000","11,780,000","17,314,000","22,650,000","29,316,000","19,634,000","21,034,000","18,077,000","13,652,000","15,516,000","7,997,615","6,232,090"
"				AccountsPayable","7,278,000","9,992,000","9,107,000","11,103,000","10,210,000","15,709,000","19,953,000","27,552,000","19,431,000","21,034,000","18,077,000","13,652,000","15,516,000","7,997,615","6,232,090"
"				TotalTaxPayable",0,"50,000","914,000","854,000","1,539,000","1,560,000","2,642,000","1,714,000",,,,,,,
"					IncomeTaxPayable",0,"50,000","914,000",,,,,,,,,,,,
"				DuetoRelatedPartiesCurrent",,0,"28,000","28,000","31,000","45,000","55,000","50,000","203,000",,,,,,
"				OtherPayable",,,,0,0,0,"55,000","50,000","203,000",,0,0,0,0,0
"			CurrentAccruedExpenses","12,701,000","13,740,000","8,717,000","6,707,000","7,151,000","10,159,000","9,841,000","28,131,000","32,496,000","14,795,000","25,750,000","19,431,000","21,445,000","16,531,349","11,255,201"
"				InterestPayable",,,,"717,000","2,312,000",,,,,,,,,,
"		PensionandOtherPostRetirementBenefitPlansCurrent","4,422,000","4,464,000","4,124,000","4,317,000","4,225,000","7,409,000","12,069,000","9,122,000","11,680,000","12,370,000",,,,,
"		CurrentDebtAndCapitalLeaseObligation","10,000,000","42,004,000",,"13,900,000",,,,,,,,,,"5,005,398","3,808,701"
"			CurrentDebt","10,000,000","20,000,000",,"10,000,000",,,,,,,,,,"5,005,398","3,808,701"
"				LineOfCredit",,"19,817,000",0,"3,900,000",,,,,,,,,,,
"				OtherCurrentBorrowings","10,000,000","20,000,000",,"10,000,000",,,,,,,,,,,
"			BankIndebtedness",0,"19,817,000",0,"3,900,000",,,,,,,,,,,
"			CurrentCapitalLeaseObligation",,"2,187,000",,,,,,,,,,,,,
"		CurrentDeferredLiabilities",,,,"513,000",0,"3,710,000",,,,,,,,,
"			CurrentDeferredRevenue",,,,"513,000",0,"3,710,000",,,,,,,,,
"		OtherCurrentLiabilities","32,816,000","17,195,000","11,891,000","64,000","964,000","547,000","2,075,000","2,059,000","3,578,000","1,476,000","1,578,000","2,849,000","1,978,000","780,975","2,816,008"
"	TotalNonCurrentLiabilitiesNetMinorityInterest","71,712,000","56,338,000","73,187,000","71,015,000","153,410,000","174,819,000","172,799,000","172,674,000","21,499,000","12,062,000","25,638,000","23,836,000","14,539,000","106,014,368","136,660,304"
"		LongTermProvisions","23,872,000","22,140,000","23,125,000","21,476,000","19,976,000","22,951,000","20,389,000","19,959,000","19,344,000","9,708,000",,,,,
"		LongTermDebtAndCapitalLeaseObligation","46,879,000","33,778,000","49,642,000","49,437,000","133,434,000","150,000,000","150,000,000","150,000,000",,,,,,"96,350,000","128,380,788"
"			LongTermDebt","44,743,000","29,753,000","49,642,000","49,437,000","133,434,000","150,000,000","150,000,000","150,000,000",,,,,,"96,350,000","128,380,788"
"			LongTermCapitalLeaseObligation","2,136,000","4,025,000",,,,,,,,,,,,,
"		NonCurrentDeferredLiabilities",,,,,,,,,,,"11,700,000","10,124,000",,,
"			NonCurrentDeferredRevenue",,,,,,,,,,0,"11,700,000","10,124,000",,,
"		NonCurrentAccruedExpenses",,,,,,,,,,,,,,,"943,959"
"		OtherNonCurrentLiabilities","961,000","420,000","420,000","102,000","19,976,000","1,868,000","2,410,000","2,715,000","2,155,000","2,354,000","13,938,000","13,712,000",,"9,664,368","7,335,557"
TotalEquityGrossMinorityInterest,"411,259,000","434,656,000","417,263,000","402,553,000","363,371,000","426,526,000","947,285,000","933,971,000","905,736,000","871,133,000","757,841,000","709,222,000","651,599,000","10,397,355","-31,457,998"
"	StockholdersEquity","411,259,000","434,656,000","417,263,000","402,553,000","363,371,000","426,526,000","947,285,000","933,971,000","905,736,000","871,133,000","757,841,000","709,222,000","651,599,000","10,397,355","-31,457,998"
"		CapitalStock","13,000","130,000","129,000","128,000","76,000","76,000","76,000","75,000","75,000","75,000","75,000","75,000","75,000",,
"			CommonStock","13,000","130,000","129,000","128,000","76,000","76,000","76,000","75,000","75,000","75,000","75,000","75,000","75,000",,
"			OtherCapitalStock",,,,0,0,0,0,0,0,,,,,,
"		RetainedEarnings","-245,591,000","-218,437,000","-232,068,000","-243,388,000","-220,358,000","-153,725,000","371,051,000","361,290,000","339,015,000","308,204,000","198,793,000","153,508,000","98,166,000","11,035,571",
"		AdditionalPaidInCapital","656,837,000","652,963,000","649,202,000","645,813,000","583,653,000","580,227,000","576,186,000","572,616,000","568,375,000","564,285,000","559,675,000","556,328,000","554,743,000",,
"		GainsLossesNotAffectingRetainedEarnings",,,0,,0,"-52,000","-28,000","-10,000","-1,729,000","-1,431,000","-702,000","-689,000","-1,385,000","-638,216",
TotalCapitalization,"456,002,000","464,409,000","466,905,000","451,990,000","496,805,000","576,526,000","1,097,285,000","1,083,971,000","905,736,000","871,133,000","757,841,000","709,222,000","651,599,000","106,747,355","96,922,790"
CommonStockEquity,"411,259,000","434,656,000","417,263,000","402,553,000","363,371,000","426,526,000","947,285,000","933,971,000","905,736,000","871,133,000","757,841,000","709,222,000","651,599,000","10,397,355","-31,457,998"
CapitalLeaseObligations,"2,136,000","6,212,000",,,,,,,,,,,,,
NetTangibleAssets,"392,075,000","415,472,000","417,263,000","402,553,000","363,371,000","426,526,000","947,285,000","933,971,000","905,736,000","871,133,000","757,841,000","709,222,000","649,034,000","10,397,355","-31,457,998"
WorkingCapital,"68,571,000","57,898,000","110,577,000","74,460,000","99,623,000","156,660,000","155,852,000","110,001,000","94,968,000","226,970,000","163,417,000","168,407,000","159,437,000","17,132,152","26,741,372"
InvestedCapital,"466,002,000","484,409,000","466,905,000","461,990,000","496,805,000","576,526,000","1,097,285,000","1,083,971,000","905,736,000","871,133,000","757,841,000","709,222,000","651,599,000","111,752,753","100,731,491"
TangibleBookValue,"392,075,000","415,472,000","417,263,000","402,553,000","363,371,000","426,526,000","947,285,000","933,971,000","905,736,000","871,133,000","757,841,000","709,222,000","649,034,000","10,397,355","-31,457,998"
TotalDebt,"56,879,000","75,782,000","49,642,000","63,337,000","133,434,000","150,000,000","150,000,000","150,000,000",,,,,,"101,355,398","132,189,489"
NetDebt,"35,228,000","29,150,000","16,420,000","58,369,000","128,970,000","140,693,000","82,411,000","149,606,000",,,,,,"99,394,992","131,903,542"
ShareIssued,"13,049,820","12,955,351","12,871,659","12,764,653","7,583,999","7,570,270","7,553,674","7,540,541","7,531,280","7,520,753","7,511,087","7,503,208","7,484,687","7,484,535","7,484,535"
OrdinarySharesNumber,"13,049,820","12,955,351","12,871,659","12,764,653","7,583,999","7,570,270","7,553,674","7,540,541","7,531,280","7,520,753","7,511,087","7,503,208","7,484,687","7,484,535","7,484,535"
,,,,,,,,,,,,,,,
ROA,-0.049354039,0.023565147,0.022433939,-0.044828922,-0.123188901,-0.819342872,0.008366196,0.018953043,0.087915723,0.117284295,0.0546337,0.071967126,0.139237275,0.20230695,0.278565018
Operating Margin,-0.088264265,0.074338294,0.074393816,-0.078092978,-0.246439881,-0.16015572,0.042903197,0.121440805,0.300013738,0.39423281,0.21162581,0.308469432,0.528213812,0.155996292,0.130895878
Net Margin,-0.088264265,0.074338294,0.074393816,-0.078092978,-0.246439881,-0.16015572,0.042903197,0.121440805,0.300013738,0.39423281,0.21162581,0.308469432,0.528213812,0.155996292,0.130895878
Return On Equity,-0.066026519,0.031360432,0.028238785,-0.056911761,-0.183374568,-1.230349381,0.010304185,0.023849777,0.096543584,0.125596206,0.059755278,0.078031984,0.150664749,2.854947629,-1.145096455
Current Ratio,2.020143714,1.66210761,4.17923579,2.986341568,5.130306799,5.002657196,4.341953468,2.602858891,2.40927168,5.569099144,4.599097016,5.686825114,5.094532474,1.565131504,2.109048275
Quick ratio,0.700938751,0.584630339,1.820304189,0.76882036,1.21840796,2.280794093,2.538715557,1.072710847,1.618700659,4.454051334,3.539874463,3.962762997,3.827987365,0.954845958,1.238324693
ROC,-0.039402599,0.033744939,0.031013787,-0.036260006,-0.116959692,-0.383453999,0.014025371,0.023760414,0.097240971,0.126163422,0.060914186,0.0787226,0.154247836,0.193679379,0.119063106
D/E ratio,0.133110765,0.114465232,0.118970529,0.147650123,0.367211473,0.351678444,0.158347277,0.160604558,0,0,0,0,0,9.748190573,-4.202094774
EPS,-2.080794984,1.052152118,0.915422014,-1.794800062,-8.785997994,-69.3206451,1.292218859,2.954032078,11.61064255,14.54787838,6.029087401,7.375778467,13.11651376,3.966031824,4.8129165
