name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008
		NetIncomeIncludingNoncontrollingInterests,"-98,181,000","-98,181,000","-34,969,000","-50,027,000","-72,788,000","-26,938,000","62,042,000","76,149,000","118,616,000","112,223,000","132,447,000","33,306,000","57,878,000","118,934,000"
			NetIncomeContinuousOperations,"-98,181,000","-98,181,000","-34,969,000","-50,027,000","-72,788,000","-26,938,000","62,042,000","76,149,000","118,616,000","112,223,000","132,447,000","33,306,000","57,878,000","118,934,000"
DilutedNIAvailtoComStockholders,"-98,181,000","-98,181,000","-34,969,000","-50,027,000","-72,788,000","-26,938,000","62,042,000","76,149,000","118,616,000","112,223,000",,,"57,878,000",
BasicEPS,,,"-3.1","-4.4","-6.4","-2.6","8.5","10.4","16.2","15.4","14.8","4.562","7.928","16.292"
DilutedEPS,,,"-3.1","-4.4","-6.4","-2.6","8.5","10.4","16.2","15.3","14.8","4.562","7.928","16.292"
BasicAverageShares,,,"11,328,300","11,328,300","11,328,300","10,329,900","7,312,300","7,311,500","7,307,200","7,303,900","7,300,800","7,300,000","7,300,000","7,300,000"
DilutedAverageShares,,,"11,328,300","11,328,300","11,328,300","10,329,900","7,313,100","7,313,900","7,322,800","7,319,300","7,307,300","7,300,000","7,300,000","7,300,000"
TotalOperatingIncomeAsReported,"-34,882,000","-34,882,000","27,380,000","6,314,000","-9,218,000","26,701,000","68,729,000","82,803,000","124,851,000","115,758,000","136,198,000","20,356,000","48,863,000","116,807,000"
TotalExpenses,"343,284,000","343,284,000","373,400,000","344,378,000","340,020,000","329,583,000","220,465,000","215,862,000","198,821,000","186,551,000","170,029,000","160,112,000","159,508,000","146,143,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-98,181,000","-98,181,000","-34,969,000","-50,027,000","-72,788,000","-26,938,000","62,042,000","76,149,000","118,616,000","112,223,000","132,447,000","33,306,000","57,878,000","118,934,000"
NormalizedIncome,"-67,848,770","-67,848,770","-31,573,747.678","-49,637,358.277","-72,788,000","-24,020,800","62,042,000","76,149,000","118,616,000","112,223,000","128,882,753.501","33,453,884.555","57,847,008.032","118,827,022.487"
InterestIncome,,,,,"50,000","6,000","40,000","30,000","74,000","208,000","79,000","13,124,000","8,999,000","2,045,000"
InterestExpense,"63,428,000","63,428,000","62,636,000","62,588,000","62,895,000","48,557,000","6,880,000","6,783,000","6,294,000","3,756,000","4,007,000",,"0",
NetInterestIncome,"-63,428,000","-63,428,000","-62,636,000","-62,588,000","-62,845,000","-48,551,000","-6,840,000","-6,753,000","-6,220,000","-3,548,000","-3,928,000","13,124,000","8,999,000","2,045,000"
EBIT,"-34,723,000","-34,723,000","27,649,000","12,515,000","-9,673,000","21,948,000","68,933,000","82,904,000","125,018,000","116,031,000","136,482,000","20,356,000","57,893,000","116,807,000"
EBITDA,"41,354,000"
ReconciledCostOfRevenue,"325,110,000","325,110,000","347,571,000","319,355,000","314,390,000","300,307,000","199,697,000","198,159,000","177,745,000","162,409,000","129,002,000","121,007,000","126,611,000","118,693,000"
ReconciledDepreciation,"76,077,000","76,077,000","79,839,000","71,575,000","73,986,000","58,246,000","28,452,000","27,249,000","25,578,000","20,723,000","18,869,000","18,463,000","18,685,000","17,987,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"-98,181,000","-98,181,000","-34,969,000","-50,027,000","-72,788,000","-26,938,000","62,042,000","76,149,000","118,616,000","112,223,000","132,447,000","33,306,000","57,878,000","118,934,000"
TotalUnusualItemsExcludingGoodwill,"-41,551,000","-41,551,000","-3,397,000","-390,000",,"-4,862,000",,,"0","0","3,565,000","-148,000","31,000","107,000"
TotalUnusualItems,"-41,551,000","-41,551,000","-3,397,000","-390,000",,"-4,862,000",,,"0","0","3,565,000","-148,000","31,000","107,000"
NormalizedEBITDA,"82,905,000","82,905,000","110,885,000","84,480,000","64,313,000","85,056,000","97,385,000","110,153,000","150,596,000","136,754,000","151,786,000","38,967,000","76,547,000","134,687,000"
TaxRateForCalcs,"0.27","0.27","0.001","0.001","0.4","0.4","0","0.35","0.001","0","0","0.001","0","0"
TaxEffectOfUnusualItems,"-11,218,770","-11,218,770","-1,747.678","-358.277","0","-1,944,800","0","0","0","0","753.501","-115.445","8.032","22.487"
